route_id,route_short_name,bus_type
BRT,SBL,normal
H4100,MS01,normal
H4200,MS02,normal
H4300,MS03,normal
P0010,PJ01,normal
P0020,PJ02,normal
P0030,PJ03,normal
P0040,PJ04,normal
P0050,PJ05,normal
P0060,PJ06,normal
P1010,P101,normal
P1020,P102,normal
P1030,P103,normal
P1040,P104,normal
P1050,P105,normal
P1060,P106,normal
P1080,P108,normal
R0200,DS01(AM),normal
R0210,DS01(PM),normal
S0030,KJ01,normal
S0040,AJ01,normal
S0060,BTG1,normal
S0070,MPS1,normal
S0100,PBD1,normal
S0120,HLB1,normal
S0131,SU13A,normal
S1030,AJ2A,normal
S1040,AJ2B,normal
S1050,AJ03,normal
S1060,KJ02,normal
S1070,KJ03,normal
S1080,SJ04,normal
S1140,AJ04,normal
S1170,KJ04,normal
S1190,MPS2A,normal
S1290,MPS2B,normal
S1390,MPS3,normal
S1490,MPS4,normal
S2000,SJ01,normal
S2020,SJ02,normal
S2030,SJ03,normal
S2040,SJ05,normal
S2060,BTG2,normal
S4000,SA01,normal
S4020,SA02,normal
S4050,SA05,normal
S4070,SA07,normal
S4080,SA08,normal
S5010,Subang HQ,normal
S6020,BC2,normal
S6050,BC3,normal
S6060,PAVILION BUKIT JALIL (PAVBJ),normal
S6090,BC4,normal
S6160,PTPM,normal
T1000,T100,mrt feeder
T1010,T101,mrt feeder
T1020,T102,mrt feeder
T1030,T103,mrt feeder
T1040,T104,mrt feeder
T1050,T105,mrt feeder
T1060,T106,mrt feeder
T1070,T107,mrt feeder
T1080,T108,mrt feeder
T1090,T109,mrt feeder
T1100,T110,mrt feeder
T1110,T111,mrt feeder
T1120,T112,mrt feeder
T1130,T113,mrt feeder
T1140,T114,mrt feeder
T1150,T115,mrt feeder
T1170,T117,mrt feeder
T1180,T118,mrt feeder
T1190,T119,mrt feeder
T1200,T120,normal
T1210,T121,normal
T1520,T152,normal
T1540,T154,normal
T1550,T155,normal
T1800,T180,mrt feeder
T2000,T200,lrt feeder
T2010,T201,lrt feeder
T2020,T202,lrt feeder
T2030,T203,lrt feeder
T2210,T221,lrt feeder
T2220,T222,lrt feeder
T2230,T223,lrt feeder
T2240,T224,lrt feeder
T2500,T250,lrt feeder
T2510,T251,lrt feeder
T3000,T300,normal
T3010,T301,normal
T3020,T302,normal
T3030,T303,lrt feeder
T3040,T304,normal
T3050,T305,mrt feeder
T3500,T350,lrt feeder
T3510,T351,lrt feeder
T3520,T352,mrt feeder
T4000,T400,mrt feeder
T4010,T401,mrt feeder
T4020,T402,mrt feeder
T4060,T406,normal
T4061,T406B,normal
T4070,T407,mrt feeder
T4080,T408,mrt feeder
T4090,T409,mrt feeder
T4100,T410,mrt feeder
T4110,T411,mrt feeder
T4120,T412,mrt feeder
T4130,T413,mrt feeder
T4140,T414,mrt feeder
T4150,T415,mrt feeder
T4160,T416,mrt feeder
T4170,T417,mrt feeder
T4180,T418,mrt feeder
T4190,T419,mrt feeder
T4500,T450,normal
T4510,T451,mrt feeder
T4530,T453,mrt feeder
T4540,T454,mrt feeder
T4550,T455,mrt feeder
T4560,T456,mrt feeder
T4570,T457,mrt feeder
T4580,T458,mrt feeder
T4590,T459,mrt feeder
T4600,T460,mrt feeder
T4610,T461,mrt feeder
T4620,T462,mrt feeder
T4630,T463,mrt feeder
T4640,T464,mrt feeder
T5040,T504,mrt feeder
T5050,T505,mrt feeder
T5060,T506,mrt feeder
T5070,T507,mrt feeder
T5080,T508,mrt feeder
T5090,T509,mrt feeder
T5100,T510,mrt feeder
T5110,T511,mrt feeder
T5120,T512,normal
T5420,T542,mrt feeder
