No,bus_no,depot,bus_model
1,WB9586H,Maluri,ALEXANDER DENNIS E500
2,WC724F,Shah Alam,ALEXANDER DENNIS E500
3,WB5044K,Shah Alam,ALEXANDER DENNIS E500
4,WVN7826,Cheras Selatan,MAN
5,WB5625U,Maluri,ALEXANDER DENNIS E500
6,WNX9074,Academy,MERCEDES MBM 120
7,WNX4097,Academy,MERCEDES MBM 120
8,WC5061B,Maluri,ALEXANDER DENNIS E500
9,WVE4799,Cheras Selatan,MAN
10,WQE2143,Academy,MERCEDES SKS 150
11,WVP2482,Cheras Selatan,MAN
12,WB7625P,Maluri,ALEXANDER DENNIS E500
13,WVN5394,Cheras Selatan,MAN
14,WVJ8172,Batu Caves,MAN
15,WC5319A,Shah Alam,ALEXANDER DENNIS E500
16,WVG2342,Cheras Selatan,MAN
17,WVP2558,Cheras Selatan,MAN
18,WC5692K,Cheras Selatan,ALEXANDER DENNIS E200
19,WVN5531,Batu Caves,MAN
20,WVG2493,Cheras Selatan,MAN
21,WVB3741,Cheras Selatan,MAN
22,WVP2517,Maluri,MAN
23,WVP2513,Cheras Selatan,MAN
24,WVL602,Cheras Selatan,MAN
25,WVE5041,Cheras Selatan,MAN
26,WVL641,Cheras Selatan,MAN
27,WB3762P,Shah Alam,ALEXANDER DENNIS E500
28,WB1098K,Shah Alam,ALEXANDER DENNIS E500
29,CDD1433,Kuantan,SCANIA K250
30,WVC3869,Batu Caves,KING LONG IC 100
31,CDH7750,Kuantan,SCANIA K250
32,CDH2347,Kuantan,SCANIA K250
33,CDH7529,Kuantan,SCANIA K250
34,CDH8317,Kuantan,SCANIA K250
35,CDD2176,Kuantan,SCANIA K250
36,CDH7753,Kuantan,SCANIA K250
37,WC4863G,Maluri,ALEXANDER DENNIS E500
38,CDH7520,Kuantan,SCANIA K250
39,CDH2331,Kuantan,SCANIA K250
40,CDD1429,Kuantan,SCANIA K250
41,WPV6957,Cheras Selatan,VOLVO SD B7RLE
42,WQA5704,Shah Alam,MERCEDES SKS 150
43,CDH8308,Kuantan,SCANIA K250
44,CDD1442,Kuantan,SCANIA K250
45,CDH8905,Kuantan,SCANIA K250
46,CDH8903,Kuantan,SCANIA K250
47,WQA4704,Batu Caves,MERCEDES SKS 150
48,CDH8301,Kuantan,SCANIA K250
49,CDH5966,Kuantan,SCANIA K250
50,CDD1408,Kuantan,SCANIA K250
51,CDH2338,Kuantan,SCANIA K250
52,CDH8312,Kuantan,SCANIA K250
53,CDH8330,Kuantan,SCANIA K250
54,WQB7774,Shah Alam,MERCEDES SKS 150
55,CDH7746,Kuantan,SCANIA K250
56,CDH3787,Kuantan,SCANIA K250
57,CDH7754,Kuantan,SCANIA K250
58,CDH5971,Kuantan,SCANIA K250
59,CDH2343,Kuantan,SCANIA K250
60,CDH2344,Kuantan,SCANIA K250
61,CDH8894,Kuantan,SCANIA K250
62,CDH8890,Kuantan,SCANIA K250
63,CDH2349,Kuantan,SCANIA K250
64,CDH5969,Kuantan,SCANIA K250
65,CDD1436,Kuantan,SCANIA K250
66,WVL734,Maluri,MAN
67,CDH3781,Kuantan,SCANIA K250
68,CDD1447,Kuantan,SCANIA K250
69,WPX7361,Cheras Selatan,VOLVO SD B7RLE
70,CDH5962,Kuantan,SCANIA K250
71,CDH2341,Kuantan,SCANIA K250
72,CDH5958,Kuantan,SCANIA K250
73,VG8761,MRT Sungai Buloh,VOLVO MRT
74,CDH2337,Kuantan,SCANIA K250
75,WPV4571,Cheras Selatan,VOLVO SD B7RLE
76,CDD1439,Kuantan,SCANIA K250
77,CDH8307,Kuantan,SCANIA K250
78,WUY4078,Shah Alam,SCANIA K270
79,WB5886H,Shah Alam,ALEXANDER DENNIS E500
80,WVJ8257,Maluri,MAN
81,WC4490H,Shah Alam,ALEXANDER DENNIS E500
82,WB5029K,Putrajaya,ALEXANDER DENNIS E200
83,WB3635M,Maluri,ALEXANDER DENNIS E500
84,WC8754B,Maluri,ALEXANDER DENNIS E500
85,WVP2572,Maluri,MAN
86,WB5742S,Maluri,ALEXANDER DENNIS E500
87,WVN7754,Maluri,MAN
88,WB490G,Maluri,ALEXANDER DENNIS E500
89,WUW1356,Batu Caves,SCANIA K270
90,WVE4918,Maluri,MAN
91,WQA5709,Shah Alam,MERCEDES SKS 150
92,PJH4804,Batu Caves,SCANIA K270 12
