CBTS LINE_ID,route_id,Actual Route,fare_type,DIRECTION,SERVICE_TYPE
P102002,P1020,P102,Flat Fare,2,Normal Flat
P102002,P1020,P102,Flat Fare,2,Normal Flat
P102102,P1021,P102A,Flat Fare,2,Normal Flat
P103002,P1030,P103,Flat Fare,2,Normal Flat
P104002,P1040,P104,Flat Fare,2,Normal Flat
P105002,P1050,P105,Flat Fare,2,Normal Flat
P106002,P1060,P106,Flat Fare,2,Normal Flat
P107002,P1070,P107,Flat Fare,2,Normal Flat
P108002,P1080,P108,Flat Fare,2,Normal Flat
R001001,R0010,BET1,Flat Fare,1,Normal Flat
R001002,R0010,BET1,Flat Fare,2,Normal Flat
R002001,R0020,BET2,Flat Fare,1,Normal Flat
R002002,R0020,BET2,Flat Fare,2,Normal Flat
R003001,R0030,BET3,Flat Fare,1,Normal Flat
R003002,R0030,BET3,Flat Fare,2,Normal Flat
R004001,R0040,BET4,Flat Fare,1,Normal Flat
R004002,R0040,BET4,Flat Fare,2,Normal Flat
R007001,R0070,BET7,Flat Fare,1,Normal Flat
R007002,R0070,BET7,Flat Fare,2,Normal Flat
R008001,R0080,BET8,Flat Fare,1,Normal Flat
R008002,R0080,BET8,Flat Fare,2,Normal Flat
R016001,R0160,BET16,Flat Fare,1,Normal Flat
R016002,R0160,BET16,Flat Fare,2,Normal Flat
R017001,R0170,BET17,Flat Fare,1,Normal Flat
R017002,R0170,BET17,Flat Fare,2,Normal Flat
R020002,R0200,DS01(AM),Flat Fare,2,Normal Flat
R021002,R0210,DS01(PM),Flat Fare,2,Normal Flat
U254002,U2540,254,Zonal Fare,2,Normal Zonal
U302002,U3020,302,Zonal Fare,2,Normal Zonal
U752001,U7520,752,Zonal Fare,1,Normal Zonal
U752002,U7520,752,Zonal Fare,2,Normal Zonal
U851102,U8511,851B,Zonal Fare,2,Normal Zonal
U771002,U7710,771,Zonal Fare,2,Normal Zonal
T451002,T4510,T451,Zonal Fare,2,Normal Zonal
U570002,U5700,570,Zonal Fare,2,Normal Zonal
T571002,T5710,T571,Zonal Fare,2,Normal Zonal
T772002,T7720,T772,Zonal Fare,2,Normal Zonal
U541002,U5410,541,Zonal Fare,2,Normal Zonal
U401002,U4010,401,Zonal Fare,2,Normal Zonal
U300002,U3000,300,Zonal Fare,2,Normal Zonal
U400002,U4000,400,Zonal Fare,2,Normal Zonal
U541001,U5410,541,Zonal Fare,1,Normal Zonal
T772001,T7720,T772,Zonal Fare,1,Normal Zonal
U420002,U4200,420,Zonal Fare,2,Normal Zonal
U222002,U2220,222,Zonal Fare,2,Normal Zonal
U580002,U5800,580,Zonal Fare,2,Normal Zonal
U783002,U7830,783,Zonal Fare,2,Normal Zonal
