Code,OriginStation,KJ1,KJ2,KJ3,KJ4,KJ5,KJ6,KJ7,KJ8,KJ9,KJ10,KJ11,KJ12,KJ13,KJ14,KJ15,KJ16,KJ17,KJ18,KJ19,KJ20,KJ21,KJ22,KJ23,KJ24,KJ25,KJ26,KJ27,KJ28,KJ29,KJ30,KJ31,KJ32,KJ33,KJ34,KJ35,KJ36,KJ37,AG18,AG17,AG16,AG15,AG14,AG13,AG12,AG11,AG10,AG9,AG8,AG7,AG6,AG5,AG4,AG3,AG2,AG1,SP11,SP10,SP9,SP8,SP7,SP6,SP5,SP4,SP3,SP2,SP1,SP12,SP13,SP14,SP15,SP16,SP17,SP18,SP19,SP20,SP21,SP22,SP24,SP25,SP26,SP27,SP28,SP29,SP31,MR1,MR2,MR3,MR4,MR5,MR6,MR7,MR8,MR9,MR10,MR11,BRT1,BRT2,BRT3,BRT4,BRT5,BRT6,BRT7,KG04,KG05,KG06,KG07,KG08,KG09,KG10,KG12,KG13,KG14,KG15,KG16,KG17,KG18A,KG20,KG21,KG22,KG23,KG24,KG25,KG26,KG27,KG28,KG29,KG30,KG31,KG33,KG34,KG35,PY01,PY03,PY04,PY05,PY06,PY07,PY08,PY09,PY10,PY11,PY12,PY13,PY14,PY15,PY16,PY17,PY18,PY19,PY20,PY21,PY22,PY23,PY24,PY27,PY28,PY29,PY31,PY32,PY33,PY34,PY36,PY37,PY38,PY39,PY40,PY41,SA1,SA2,SA3,SA5,SA6,SA7,SA9,SA10,SA12,SA14,SA15,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SA24,SA26
KJ1,Gombak,0.8,1.2,1.7,1.8,2.5,2.7,2.5,2.7,2.9,3,3.2,3,3.2,3.4,3.6,3.7,3.7,3.4,3.5,3.1,3.2,3.3,3.4,3.5,3.7,3.9,4,4.2,4.3,4.4,4.6,4.6,4.8,4.9,5,5.2,5.3,5.1,4.9,5.1,5,4.7,4.4,4.2,4.1,3.8,3.6,3.4,3.2,3.4,3.5,3.7,3.9,4.1,4.2,4.1,3.8,3.6,3.4,3.2,3.4,3.5,3.7,3.9,4.1,4.2,4.4,4.7,5.1,5.1,5.3,5.7,5.4,5.7,5.8,6,5.6,6,5.4,5.5,5.6,5.7,5.9,5.3,5.2,4.9,4.1,3.6,3.8,4.1,4.4,4.9,5,4.5,3.9,8.3,7.7,7.2,6.6,6,5.3,4.6,6,5.8,6,5.7,5.5,5.6,5.2,5.1,4.6,4.1,3.7,3.4,3.4,3.7,4.1,4.4,4.4,4.9,5.1,5.1,5.4,5.8,5.6,5.9,6,5.8,6.1,6.2,5.6,6,6.4,6.4,6.2,6.3,6.1,5.8,5.9,5.7,5.5,5.2,5,4.8,4.6,4.3,3.9,4.1,4.4,4.7,4.6,4.4,4.1,4.1,5.3,5.6,5.3,5.9,6.2,6.4,6.4,6.3,6.5,6.5,6.4,6.6,6.7,6.40,6.30,6.00,5.60,5.10,4.80,5.70,5.90,6.80,6.90,7.30,7.30,7.60,7.20,7.50,7.70,7.10,7.20,7.30,7.60
KJ2,Taman Melati,1.2,0.8,1.3,1.6,2.1,2.3,2.4,2.6,2.6,2.7,2.9,3.1,3.4,3.1,3.3,3.5,3.5,3.2,3.3,3.6,3.7,3.2,3.3,3.4,3.7,3.7,3.9,4,4.1,4.2,4.4,4.5,4.6,4.7,4.9,5,5.2,5,5.1,5,4.9,4.6,4.3,4.2,3.9,3.7,3.5,3.3,3.4,3.6,3.7,3.9,4.1,4.3,4.4,3.9,3.7,3.5,3.3,3.4,3.6,3.7,3.9,4.1,4.3,4.4,4.3,4.6,5,5,5.3,5.6,5.6,5.6,5.8,6,5.6,5.9,5.6,5.5,5.6,5.8,5.9,5.2,5.1,4.8,4,3.5,3.7,4,4.3,4.8,5.2,4.7,4.1,8.1,7.5,7,6.4,5.8,5.1,4.4,5.7,5.5,5.7,5.4,5.5,5.3,4.9,5,4.3,3.8,3.4,3.1,3.3,3.6,3.9,4.1,4.3,4.7,4.9,4.9,5.2,5.6,5.4,5.7,5.8,5.5,5.9,6,5.4,5.7,6.4,6.6,6.4,6.5,6.3,6,6,5.9,5.7,5.4,5.2,5,4.8,4.5,4.1,4.3,4.6,4.4,4.3,4.1,3.9,3.9,5.5,5.8,5.3,6.1,6.1,6.2,6.5,6.5,6.7,6.2,6.4,6.5,6.6,6.10,6.20,5.90,5.50,5.00,4.70,5.60,5.80,6.70,6.80,7.20,7.20,7.50,7.10,7.40,7.60,7.00,7.10,7.20,7.50
KJ3,Wangsa Maju,1.7,1.3,0.8,1.5,1.8,1.9,2,2.2,2.4,2.6,2.6,2.8,3,3.2,3,3.2,3.2,3.5,3.6,3.4,3.5,3.7,3.1,3.2,3.5,3.6,3.7,3.8,4,4,4.2,4.3,4.4,4.5,4.7,4.8,5,4.9,4.7,4.9,4.8,4.5,4.2,4,3.9,3.6,3.4,3.2,3,3.2,3.3,3.5,3.7,3.9,4,3.9,3.6,3.4,3.2,3,3.2,3.3,3.5,3.7,3.9,4,4.2,4.5,4.9,4.9,5.1,5.5,5.2,5.5,5.6,5.8,5.4,5.8,5.2,5.3,5.4,5.5,5.7,5,5,4.7,3.9,3.4,3.6,3.9,4.2,4.7,4.8,4.3,3.7,7.9,7.3,6.8,6.2,5.6,4.9,4.2,5.8,5.6,5.8,5.5,5.3,5.4,5,4.9,4.4,3.9,3.5,3.2,3.2,3.5,3.9,4.2,4.2,4.7,4.9,4.9,5.2,5.6,5.4,5.7,5.8,5.6,5.9,6,5.4,5.8,6.2,6.2,6,6.1,5.9,5.6,5.7,5.5,5.3,5,4.8,4.6,4.4,4.1,3.7,3.9,4.2,4.5,4.4,4.2,3.9,3.9,5.1,5.4,5.1,5.7,6,6.2,6.2,6.1,6.3,6.3,6.2,6.4,6.5,6.20,6.00,5.70,5.30,4.80,4.50,5.40,5.60,6.50,6.60,7.00,7.00,7.30,6.90,7.20,7.40,6.80,6.90,7.00,7.30
KJ4,Sri Rampai,1.8,1.6,1.5,0.8,1.5,1.7,1.7,1.9,2.2,2.4,2.6,2.6,2.8,3,3.3,3,3.2,3.3,3.5,3.2,3.3,3.5,3.7,3.1,3.2,3.3,3.4,3.6,3.7,3.8,4,4.1,4.2,4.3,4.5,4.6,4.7,4.7,4.5,4.7,4.6,4.3,4,3.8,3.7,3.4,3.2,3,2.8,3,3.1,3.3,3.5,3.7,3.8,3.7,3.4,3.2,3,2.8,3,3.1,3.3,3.5,3.7,3.8,4,4.3,4.7,4.7,4.9,5.3,5,5.3,5.4,5.6,5.2,5.6,5,5.1,5.2,5.3,5.4,4.7,4.8,4.5,3.7,3.2,3.4,3.7,4,4.5,4.6,4.1,3.5,7.7,7.1,6.6,6,5.4,4.7,4,5.6,5.4,5.6,5.3,5.1,5.2,4.8,4.7,4.2,3.7,3.3,3,3,3.3,3.7,4,4,4.5,4.7,4.7,5,5.4,5.2,5.5,5.6,5.4,5.7,5.8,5.2,5.6,6,6,5.8,5.9,5.7,5.4,5.5,5.3,5.1,4.8,4.6,4.4,4.2,3.9,3.5,3.7,4,4.3,4.2,4,3.7,3.7,4.9,5.2,4.9,5.5,5.8,6,6,5.9,6.1,6.1,6,6.2,6.3,6.00,5.70,5.40,5.00,4.50,4.20,5.10,5.30,6.20,6.30,6.70,6.70,7.00,6.60,6.90,7.10,6.50,6.60,6.70,7.00
KJ5,Setiawangsa,2.5,2.1,1.8,1.5,0.8,1,1.2,1.4,1.7,1.8,2,2.2,2.5,2.8,2.8,3,3.2,3.3,3.1,3.4,3.5,3.2,3.4,3.5,3.7,3.8,3.2,3.3,3.5,3.5,3.7,3.8,3.9,4,4.2,4.3,4.5,4.5,4.3,4.5,4.4,4.1,3.8,3.6,3.5,3.2,3,2.7,2.5,2.7,2.9,3.1,3.3,3.5,3.6,3.5,3.2,3,2.7,2.5,2.7,2.9,3.1,3.3,3.5,3.6,3.8,4.1,4.5,4.5,4.7,5.1,4.8,5.1,5.2,5.4,5,5.4,4.8,4.9,5,5.1,5.2,4.5,4.6,4.3,3.5,3,3.2,3.5,3.8,4.3,4.4,3.9,3.3,7.4,6.8,6.3,5.7,5.1,4.4,3.7,5.4,5.3,5.5,5.2,4.9,5.1,4.7,4.5,4.1,3.6,3.2,2.8,2.7,3.1,3.5,3.8,3.8,4.3,4.5,4.5,4.8,5.2,5,5.3,5.4,5.3,5.5,5.6,5,5.4,5.8,5.8,5.6,5.7,5.5,5.2,5.3,5.1,4.9,4.6,4.4,4.2,4,3.7,3.3,3.5,3.8,4.1,4.1,3.9,3.5,3.5,4.7,5,4.7,5.3,5.6,5.8,5.8,5.7,5.9,6,5.8,6,6.1,5.80,5.50,5.20,4.80,4.30,4.00,4.90,5.10,6.00,6.10,6.50,6.50,6.80,6.40,6.70,6.90,6.30,6.40,6.50,6.80
KJ6,Jelatek,2.7,2.3,1.9,1.7,1,0.8,1,1.2,1.4,1.7,1.8,2,2.3,2.6,2.6,2.8,3,3.2,3.3,3.3,3.4,3.6,3.3,3.4,3.6,3.7,3.1,3.3,3.4,3.5,3.7,3.7,3.9,4,4.1,4.3,4.4,4.3,4.1,4.3,4.2,3.9,3.6,3.4,3.3,3,2.7,2.5,2.3,2.5,2.6,2.8,3.1,3.3,3.4,3.3,3,2.7,2.5,2.3,2.5,2.6,2.8,3.1,3.3,3.4,3.6,3.9,4.3,4.3,4.5,4.9,4.6,4.9,5,5.2,4.8,5.2,4.6,4.7,4.8,4.9,5.1,4.4,4.4,4.1,3.3,2.7,3,3.3,3.6,4.1,4.2,3.7,3.1,7.4,6.8,6.3,5.7,5.1,4.4,3.7,5.2,5.1,5.3,5,4.7,4.9,4.5,4.3,3.9,3.4,3,2.6,2.5,2.8,3.3,3.6,3.6,4.1,4.3,4.3,4.6,5,4.8,5.1,5.2,5.1,5.3,5.4,4.8,5.2,5.6,5.6,5.4,5.5,5.3,5,5.1,4.9,4.7,4.4,4.2,4,3.8,3.5,3.1,3.3,3.6,3.9,3.9,3.7,3.3,3.3,4.5,4.8,4.5,5.1,5.4,5.6,5.6,5.5,5.7,5.8,5.6,5.8,5.9,5.70,5.40,5.10,4.70,4.20,3.90,4.80,5.00,5.90,6.00,6.40,6.40,6.70,6.30,6.60,6.80,6.20,6.30,6.40,6.70
KJ7,Dato Keramat,2.5,2.4,2,1.7,1.2,1,0.8,1,1.3,1.5,1.8,1.9,2.2,2.4,2.7,2.7,2.9,3.1,3.2,3.2,3.3,3.6,3.2,3.3,3.5,3.6,3.8,3.2,3.3,3.4,3.6,3.7,3.8,3.9,4.1,4.2,4.4,4.2,4,4.2,4.1,3.8,3.5,3.3,3.2,2.8,2.6,2.4,2.2,2.4,2.5,2.7,3,3.2,3.3,3.2,2.8,2.6,2.4,2.2,2.4,2.5,2.7,3,3.2,3.3,3.5,3.8,4.2,4.2,4.4,4.8,4.5,4.8,4.9,5.1,4.7,5.1,4.5,4.6,4.7,4.8,5,4.4,4.3,4,3.2,2.6,2.9,3.2,3.5,4,4.1,3.6,3,7.3,6.7,6.2,5.6,5,4.3,3.6,5.1,4.9,5.1,4.8,4.6,4.7,4.3,4.2,3.7,3.2,2.7,2.4,2.4,2.7,3.2,3.5,3.5,4,4.2,4.2,4.5,4.9,4.7,5,5.1,4.9,5.2,5.3,4.7,5.1,5.5,5.5,5.3,5.4,5.2,4.9,5,4.8,4.6,4.3,4.1,3.9,3.7,3.4,3,3.2,3.5,3.8,3.7,3.5,3.2,3.2,4.4,4.7,4.4,5,5.3,5.5,5.5,5.4,5.6,5.6,5.5,5.7,5.8,5.50,5.80,5.80,5.40,4.90,4.60,5.50,5.70,6.60,6.70,7.10,7.10,7.40,7.00,7.30,7.50,6.90,7.00,7.10,7.40
KJ8,Damai,2.7,2.6,2.2,1.9,1.4,1.2,1,0.8,1.1,1.3,1.6,1.7,2,2.2,2.6,2.5,2.8,2.9,3.1,3.1,3.2,3.4,3.6,3.2,3.4,3.5,3.7,3.1,3.3,3.3,3.5,3.6,3.7,3.8,4,4.1,4.3,4,3.8,4,3.9,3.6,3.3,3.1,2.9,2.6,2.4,2.2,2,2.2,2.3,2.5,2.7,2.9,3.1,2.9,2.6,2.4,2.2,2,2.2,2.3,2.5,2.7,2.9,3.1,3.3,3.6,4,4,4.2,4.6,4.3,4.6,4.7,4.9,4.5,4.9,4.3,4.4,4.5,4.6,4.8,4.3,4.1,3.8,3,2.4,2.7,3,3.3,3.8,3.9,3.4,2.7,7.2,6.6,6.1,5.5,4.9,4.2,3.5,4.9,4.7,4.9,4.6,4.4,4.5,4.1,4,3.5,3,2.5,2.2,2.2,2.5,2.9,3.3,3.3,3.8,4,4,4.3,4.7,4.5,4.8,4.9,4.7,5,5.1,4.5,4.9,5.3,5.3,5.1,5.2,5,4.7,4.8,4.6,4.4,4.1,3.9,3.7,3.5,3.2,2.7,2.9,3.3,3.6,3.5,3.3,2.9,2.9,4.2,4.5,4.2,4.8,5.1,5.3,5.3,5.2,5.4,5.4,5.3,5.5,5.6,5.30,5.60,5.70,5.30,4.80,4.50,5.40,5.60,6.50,6.60,7.00,7.00,7.30,6.90,7.20,7.40,6.80,6.90,7.00,7.30
KJ9,Ampang Park,2.9,2.6,2.4,2.2,1.7,1.4,1.3,1.1,0.8,1,1.3,1.6,1.8,2,2.3,2.6,2.6,2.7,2.9,3.3,3,3.3,3.5,3.6,3.3,3.4,3.5,3.7,3.2,3.2,3.4,3.5,3.6,3.7,3.9,4,4.2,3.8,3.6,3.8,3.7,3.4,3.1,2.8,2.7,2.4,2.2,2,1.8,2,2.1,2.3,2.5,2.7,2.8,2.7,2.4,2.2,2,1.8,2,2.1,2.3,2.5,2.7,2.8,3.1,3.4,3.8,3.8,4,4.4,4.1,4.4,4.5,4.7,4.3,4.7,4.1,4.2,4.3,4.4,4.6,4.2,3.9,3.6,2.8,2.2,2.5,2.8,3.1,3.6,3.7,3.2,2.5,7.1,6.5,6,5.4,4.8,4.1,3.4,4.7,4.5,4.7,4.4,4.2,4.3,3.9,3.8,3.3,2.7,2.3,2,2,2.3,2.7,3.1,3.1,3.6,3.8,3.8,4.1,4.5,4.3,4.6,4.7,4.5,4.8,4.9,4.3,4.7,5.1,5.1,4.9,5,4.8,4.5,4.6,4.4,4.2,3.9,3.7,3.5,3.3,2.9,2.5,2.7,3.1,3.4,3.3,3.1,2.7,2.7,4,4.3,4,4.6,4.9,5.1,5.1,5,5.2,5.2,5.1,5.3,5.4,5.10,5.40,5.50,5.10,4.60,4.30,5.20,5.40,6.30,6.40,6.80,6.80,7.10,6.70,7.00,7.20,6.60,6.70,6.80,7.10
KJ10,KLCC,3,2.7,2.6,2.4,1.8,1.7,1.5,1.3,1,0.8,1.1,1.3,1.7,1.8,2.1,2.4,2.7,2.6,2.7,3.1,3.3,3.1,3.3,3.5,3.7,3.3,3.4,3.6,3.1,3.2,3.3,3.4,3.6,3.6,3.8,4,4.1,3.7,3.5,3.7,3.6,3.3,2.9,2.7,2.6,2.3,2.1,1.9,1.7,1.9,2,2.2,2.4,2.6,2.7,2.6,2.3,2.1,1.9,1.7,1.9,2,2.2,2.4,2.6,2.7,2.9,3.3,3.7,3.7,3.9,4.3,4,4.3,4.4,4.6,4.2,4.6,4,4.1,4.2,4.3,4.5,4.1,3.8,3.5,2.7,2.1,2.4,2.7,3,3.5,3.6,3.1,2.4,7,6.4,5.9,5.3,4.7,4,3.3,4.5,4.3,4.5,4.2,4.1,4.1,3.7,3.7,3.1,2.5,2.1,1.8,1.9,2.2,2.6,2.9,2.9,3.5,3.7,3.7,4,4.4,4.2,4.5,4.6,4.3,4.7,4.8,4.2,4.5,5,5,4.8,4.9,4.7,4.4,4.5,4.3,4.1,3.8,3.6,3.4,3.2,2.8,2.4,2.6,2.9,3.2,3.1,2.8,2.6,2.6,3.9,4.2,3.9,4.5,4.8,5,5,4.9,5.1,5,5,5.2,5.3,4.90,5.20,5.40,5.00,4.50,4.20,5.10,5.30,6.20,6.30,6.70,6.70,7.00,6.60,6.90,7.10,6.50,6.60,6.70,7.00
