LRT LINE,stop_id,stop_name,tenant,name,category
AGL,AG18,Ampang,MyNews Retail Sdn Bhd,myNEWS.com,Convenience Store
AGL,AG18,Ampang,Pos Malaysia Berhad,Pos Laju Kiosk,Postal Kiosk
AGL,AG18,Ampang,CIMB Bank Berhad,CIMB ATM,ATM
AGL,AG18,Ampang,Loob Integrated Sdn Bhd,Tealive,F&B (Beverage)
AGL,AG18,Ampang,Smart Solutions Engineering Sdn Bhd,Powerbank,Self Service Kiosk
AGL,AG18,Ampang,Digital Salute Sdn Bhd,Epay,Self Service Kiosk
AGL,AG18,Ampang,Pos Malaysia Berhad,Pos Laju Ezibox,Postal box
AGL,AG18,Ampang,Ninja Logistics Sdn Bhd,Ninja Van,Postal box
AGL,AG18,Ampang,Atlas Vending (M) Sdn Bhd,Etika VM,Vending Machine
AGL,AG18,Ampang,Atlas Vending (M) Sdn Bhd,Atlas VM,Vending Machine
AGL,AG18,Ampang,Ivend Data Sdn Bhd,Vendlah! VM,Vending Machine
AGL,SP15,Bandar Tasik Selatan,Malakat Food Sdn Bhd,Malakat Food,Convenience Store
AGL,SP15,Bandar Tasik Selatan,Pos Malaysia Berhad,Pos Laju Kiosk,Postal Kiosk
AGL,SP15,Bandar Tasik Selatan,Berjaya Starbucks Coffee Company Sdn Bhd,Starbucks,F&B (Beverage)
AGL,SP15,Bandar Tasik Selatan,Malakat Food Sdn Bhd,TeaAmo,F&B (Beverage)
AGL,SP15,Bandar Tasik Selatan,Daily Fresh Food S/B,Daily Fresh,F&B (Snacks)
AGL,SP15,Bandar Tasik Selatan,Rotiboy Bakeshoppe S/B,Rotiboy,F&B (Bakery)
AGL,SP15,Bandar Tasik Selatan,Digital Salute Sdn Bhd,Epay,Self Service Kiosk
AGL,SP15,Bandar Tasik Selatan,Smart Solutions Engineering Sdn Bhd,Powerbank,Self Service Kiosk
AGL,SP15,Bandar Tasik Selatan,Digi Telecommunications Sdn Bhd,Digi SSK,Self Service Kiosk
AGL,SP15,Bandar Tasik Selatan,Ninja Logistics Sdn Bhd,Ninja Van,Postal box
AGL,SP15,Bandar Tasik Selatan,VRetail Solutions Sdn Bhd,Vretail,Vending Machine
AGL,SP14,Bandar Tun Razak,MyNews Retail Sdn Bhd,myNEWS.com,Convenience Store
AGL,SP14,Bandar Tun Razak,Digi Telecommunications Sdn Bhd,Digi SSK,Self Service Kiosk
AGL,SP14,Bandar Tun Razak,Ninja Logistics Sdn Bhd,Ninja Van,Postal box
AGL,SP14,Bandar Tun Razak,Atlas Vending (M) Sdn Bhd,Etika VM,Vending Machine
AGL,AG6,Bandaraya,Loob Integrated Sdn Bhd,Tealive,F&B (Beverage)
AGL,AG6,Bandaraya,Digital Salute Sdn Bhd,Epay,Self Service Kiosk
AGL,AG6,Bandaraya,Smart Solutions Engineering Sdn Bhd,Powerbank,Self Service Kiosk
AGL,AG6,Bandaraya,Ninja Logistics Sdn Bhd,Ninja Van,Postal box
AGL,AG6,Bandaraya,Atlas Vending (M) Sdn Bhd,Atlas VM,Vending Machine
AGL,AG6,Bandaraya,Atlas Vending (M) Sdn Bhd,Etika VM,Vending Machine
AGL,AG6,Bandaraya,Atlas Vending (M) Sdn Bhd,Etika VM,Vending Machine
AGL,AG6,Bandaraya,Ivend Data Sdn Bhd,Vendlah! VM,Vending Machine
AGL,SP6,Bandaraya,Loob Integrated Sdn Bhd,Tealive,F&B (Beverage)
AGL,SP6,Bandaraya,Digital Salute Sdn Bhd,Epay,Self Service Kiosk
AGL,SP6,Bandaraya,Smart Solutions Engineering Sdn Bhd,Powerbank,Self Service Kiosk
AGL,SP6,Bandaraya,Ninja Logistics Sdn Bhd,Ninja Van,Postal box
AGL,SP6,Bandaraya,Atlas Vending (M) Sdn Bhd,Atlas VM,Vending Machine
AGL,SP6,Bandaraya,Atlas Vending (M) Sdn Bhd,Etika VM,Vending Machine
AGL,SP6,Bandaraya,Atlas Vending (M) Sdn Bhd,Etika VM,Vending Machine
AGL,SP6,Bandaraya,Ivend Data Sdn Bhd,Vendlah! VM,Vending Machine
AGL,SP17,Bukit Jalil,NFL Bagel0 Enterprise,BagelO,F&B
AGL,SP17,Bukit Jalil,NF Convenience Store,NF Convenience Store,Convenience Store
AGL,SP17,Bukit Jalil,Digital Salute Sdn Bhd,Epay,Self Service Kiosk
AGL,SP17,Bukit Jalil,Ninja Logistics Sdn Bhd,Ninja Van,Postal box
AGL,SP17,Bukit Jalil,VRetail Solutions Sdn Bhd,Vretail,Vending Machine
AGL,AG17,Cahaya,Ninja Logistics Sdn Bhd,Ninja Van,Postal box
AGL,AG17,Cahaya,Atlas Vending (M) Sdn Bhd,Etika VM,Vending Machine
AGL,AG17,Cahaya,Atlas Vending (M) Sdn Bhd,Atlas VM,Vending Machine
AGL,AG16,Cempaka,MyNews Retail Sdn Bhd,myNEWS.com,Convenience Store
AGL,AG16,Cempaka,Digital Salute Sdn Bhd,Epay,Self Service Kiosk
AGL,AG16,Cempaka,Ninja Logistics Sdn Bhd,Ninja Van,Postal box
AGL,AG16,Cempaka,JS Warisan Enterprise (b'4 JS Ertika Enterprise),My Family Kiosk,F&B (Snacks)
AGL,AG16,Cempaka,Atlas Vending (M) Sdn Bhd,Atlas VM,Vending Machine
AGL,AG16,Cempaka,Atlas Vending (M) Sdn Bhd,Atlas VM,Vending Machine
AGL,AG16,Cempaka,Atlas Vending (M) Sdn Bhd,Etika VM,Vending Machine
AGL,AG16,Cempaka,Atlas Vending (M) Sdn Bhd,Etika VM,Vending Machine
AGL,AG16,Cempaka,Ivend Data Sdn Bhd,Vendlah! VM,Vending Machine
AGL,AG11,Chan Sow Lin,Ninja Logistics Sdn Bhd,Ninja Van,Postal box
AGL,AG11,Chan Sow Lin,Atlas Vending (M) Sdn Bhd,Etika VM,Vending Machine
