stop_id,stop_name,poiname,lat,long,path,distance
PY22,CONLAY,Kompleks Kraf Kuala Lumpur,3.149464314,101.7188827,,400
PY18,HOSPITAL KUALA LUMPUR,National Art Gallery,3.173672852,101.7052195,,450
KJ10,KLCC,KLCC,3.158118706,101.7120673,,270
AG7,MASJID JAMEK,Merdeka Square and River of Life,3.149039283,101.6936605,,600
KJ13,MASJID JAMEK,Merdeka Square and River of Life,3.149039283,101.6936605,,600
SP7,MASJID JAMEK,Merdeka Square and River of Life,3.149039283,101.6936605,,600
KG17,MERDEKA,Merdeka 118,3.142079063,101.7008858,,600
KG15,MUZIUM NEGARA,The National Museum of Malaysia,3.137695685,101.6874295,,84
KJ14,PASAR SENI,Central Market,3.145228473,101.6954391,,500
KG16,PASAR SENI,Central Market,3.145228473,101.6954391,,500
KJ14,PASAR SENI,Petaling Street,3.144392037,101.6976516,,300
KG16,PASAR SENI,Petaling Street,3.144392037,101.6976516,,300
KJ14,PASAR SENI,Kwai Chai Hong,3.141463328,101.6976028,,350
KG16,PASAR SENI,Kwai Chai Hong,3.141463328,101.6976028,,350
KG20,TUN RAZAK EXCHANGE,TRX Exchange 106,3.141859012,101.7188065,,1700
PY23,TUN RAZAK EXCHANGE,TRX Exchange 106,3.141859012,101.7188065,,1700
