,(1)JETTY B,(188)Container Hotel,(454)Restoran Kapitan,(682)Masjid Kapitan Keling,(862)Love Lane,(1169)Banana Boutique,(1394)Penang Road,(1543)Pasar Chowrasta,(2153)Terminal Komtar,(2917)TM Point,(3360)Penang Plaza,(3575)SK Pykett Methodist,(3997)1926 Heritage Hotel,(4190)Chinese Recreation Club,(4510)Gleneagles II,(4730)Sri Pangkor Kondominium,(4862)Gurney Hotel,(5066)Evergreen Hotel,(5180)Masjid Jamek Al Munawer,(5296)Flat Kelawei,(5464)Sleeping Buddha,(5718)Pangsapuri Festival,(5942)Gurney Paragon,(6185)Gurney Plaza,(6765)Balai Bomba Bagan Jermal,(7104)Masjid Bagan Jermal ,(7368)Caltex,(7650)Wisma Binjul,(7840)Island Plaza,(8151)Taman Batu Bukit,(8384)Masjid Karwa,(8615)Tanjong Tokong,(8901)Tesco Tanjung Pinang,(9265)Flat UDA,(9518)Chinese Swimming Club,(9857)Mercure Penang Beach Hotel,(10965)Hotel Copthorne,(11419)Hotel Flamingo,(11646)Infinity,(11922)Menara Asas,(12112)Pejabat Pos Tg.Bungah,(12350)Grand Ocean Condominium,(12659)Masjid Terapung,(12994)Mar Vista,(13548)Pantai Shamrock,(14111)Mount Pleasure,(14598)Double Tree Resort,(14774)Pantai Miami,(15065)HILLTOP,(15363)Moon Light Café,(15670)Moon Light Bay,(15903)Basket Ball Court,(16746)Apartmen Sri Sayang ,(16968)Feringghi Plaza,(17280)Golden Sands,(17480)Long Beach Food Court,(17691)Night Market,(17941)Hotel Holiday Inn ,(18095)Balai Polis Batu Feringghi,(18313)By The Sea,(18759)Hotel Hard Rock ,(19029)Feringghi Villa,(19305)Apartment Baiduri,(20742)Tropical Spice Garden ,(21999)Hotel Angsana,(22312)Teluk Bahang,(22582)Hub Teluk Bahang,(22779)Dewan Teluk Bahang,(22903)Klinik Kesihatan Teluk Bahang,(23242)SK Teluk Bahang,(23513)SMK Teluk Bahang,(23653)Escape,(23824)SMK Teluk Bahang,(24376)Klinik Kesihatan Teluk Bahang,(24796)Pasar Teluk Bahang,(25146)Flat Hassan Abbas,(25323)Aseania Court,(25588)Taman Negara,(25913)Aseania Court ,(26113)Flat Hassan Abbas,(26308)Jalan Hassan Abbas,(26461)Pasar Teluk Bahang,(26896)Hub Teluk Bahang
(1)JETTY B,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4
(188)Container Hotel,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4
(454)Restoran Kapitan,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4
(682)Masjid Kapitan Keling,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4
(862)Love Lane,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4
(1169)Banana Boutique,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4
(1394)Penang Road,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4
(1543)Pasar Chowrasta,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4
(2153)Terminal Komtar,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2917)TM Point,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
