,(1)Lapangan Terbang Antarabangsa Pulau Pinang,(1583)The Star Publication,(2479)Sungai Tiram,(2857)Dynacraft Industries Sdn. Bhd.,(3381)B Braun,(4153)Snake Temple,(4895)Taman Sri Tunas,(5926)Taman Mahsuri,(6931)SRJK Kwang Hwa,(7188)Ayamas Sg. Nibong,(7434)Masjid Jamek Sg Nibong,(7808)Terminal Bas Ekspres Sg Nibong,(8310)Tapak Pesta Sg Nibong,(8681)Taman Century,(9096)JPJ Batu Uban,(9243)Sekolah Memandu Batu Uban,(9619)Jejantas Batu Uban,(10337)Padang Bola USM,(10900)SK Sg. Gelugor,(11437)Maybank Gelugor,(11802)KTM Motor,(12250)Recsam,(13310)Shell Green Lane,(13751)Persatuan Kanak-Kanak Sepastik,(14182)Hospital Lam Wah Ee,(14627)SMK Convent Green Lane,(15150)McDonald Green Lane,(15377)SMK Penang Free,(16022)SMKA Al-Mashoor(Hentian Transit),(16457)SMK (L) Methodist,(16867)Dhoby Ghaut,(17280)Penjara P.Pinang(Hospital),(17831)Padang Brown,(18184)Kampung Makam,(18571)Pasar Jalan Kuantan,(18782)Penang Times Square,(18979)Pasaraya Gama,(19185)Komtar Utara ,(19869)Terminal Komtar,(20170)Masjid Simpang Enam,(20645)Pusat Kegiatan Guru Kelawei,(21087)Pasar Jalan Anson,(21357)Kolej MSU,(21905)Koperasi Melayu Pulau Pinang,(22353)YMCA,(23285)Wat Bhuparam,(23489)Kolej MSU,(23687)Gleneagles I,(23793)Gleneagles II,(24013)Sri Pangkor Kondominium,(24145)Gurney Hotel,(24349)Evergreen Hotel,(24463)Masjid Jamek Al Munawer,(24580)Flat Kelawei,(24747)Sleeping Buddha,(25001)Pangsapuri Festival,(25225)Gurney Paragon,(25469)Gurney Plaza,(26048)Balai Bomba Bagan Jermal,(26387)Masjid Bagan Jermal ,(26651)Caltex,(26933)Wisma Binjul,(27585)Hadapan Medan Selera Downtown,(28771)Hadapan Straits Quay Marina Mall,(29295)Tesco Tanjung Pinang II,(29534)Tesco Tanjung Pinang,(29898)Flat UDA,(30150)Chinese Swimming Club,(30489)Mercure Penang Beach Hotel,(31597)Hotel Copthorne,(32052)Hotel Flamingo,(32279)Infinity,(32554)Menara Asas,(32745)Pejabat Pos Tg.Bungah,(32982)Grand Ocean Condominium,(33292)Masjid Terapung,(33627)Mar Vista,(34181)Pantai Shamrock,(34743)Mount Pleasure,(35231)Double Tree Resort,(35407)Pantai Miami,(35697)HILLTOP,(35995)Moon Light Café,(36302)Moon Light Bay,(36536)Basket Ball Court,(37379)Apartmen Sri Sayang ,(37601)Feringghi Plaza,(37913)Golden Sands,(38113)Long Beach Food Court,(38324)Night Market,(38574)Hotel Holiday Inn ,(38728)Balai Polis Batu Feringghi,(38945)By The Sea,(39391)Hotel Hard Rock ,(39661)Feringghi Villa,(39937)Apartment Baiduri,(41375)Tropical Spice Garden ,(42632)Hotel Angsana,(42945)Teluk Bahang,(43214)Hub Teluk Bahang,(43411)Dewan Teluk Bahang,(43536)Klinik Kesihatan Teluk Bahang,(43875)SK Teluk Bahang,(44146)SMK Teluk Bahang,(44286)Escape,(44457)SMK Teluk Bahang,(45009)Klinik Kesihatan Teluk Bahang,(45429)Pasar Teluk Bahang
(1)Lapangan Terbang Antarabangsa Pulau Pinang,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,5,5,5,5,5,5,5,5,5,5,5
(1583)The Star Publication,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,5,5,5,5,5,5
(2479)Sungai Tiram,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,5,5
(2857)Dynacraft Industries Sdn. Bhd.,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,5,5
(3381)B Braun,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,5
(4153)Snake Temple,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
(4895)Taman Sri Tunas,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
(5926)Taman Mahsuri,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
(6931)SRJK Kwang Hwa,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
(7188)Ayamas Sg. Nibong,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
(7434)Masjid Jamek Sg Nibong,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
(7808)Terminal Bas Ekspres Sg Nibong,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
