,(1)Hub Teluk Bahang,(436)Jalan Teluk Bahang,(1778)Tropical Spice Garden ,(3216)Apartment Baiduri,(3506)Feringghi Villa,(3701)Hotel Hard Rock ,(4132)By The Sea,(4559)Hotel Holiday Inn,(4785)Night Market,(5045)Long Beach,(5254)Hotel Golden Sands,(5559)Hotel Rasa Sayang ,(5785)Sri Sayang,(6043)Kem Tentera,(6623)Basket Ball Court,(6877)Moon Light Bay,(7162)Moon Light Cafe,(7446)Hill Top,(7734)Pantai Miami,(7913)Double Tree Resort,(8473)Mount Pleasure,(9011)Pantai Shamrock,(9516)Mar Vista,(9747)Masjid Terapung,(10193)Tsunami Village,(10426)Harmony Residence,(10643)Menara Asas,(10961)TM Resort,(11194)Hotel Flamingo,(11462)Hotel Copthorne ,(12070)Penang Swimming Club,(12639)Mercure Penang Beach Hotel,(12974)Chinese Swimming Club,(13257)Flat Uda,(13699)Tesco Tanjung Pinang,(14404)Straits Quay Marina Mall,(15732)Palm / Nipah Court,(16018)Island Plaza,(16372)Starbucks,(16747)Marina Bay,(17070)Balai Bomba Bagan Jermal,(17271)Jalan Bagan Jermal(Gurney),(17615)SMJK Phor Tay,(17845)Sekolah St. Nicholas ,(18093)Hospital Adventist,(18399)Midlands One Stop Centre,(18618)SMK/SK Convent Pulau Tikus,(18832)Belissa Row,(19239)Hardware Pulau Tikus,(19535)Premier Centre,(19725)Sokka Gakai,(19896)Kolej MSU,(20410)Kem Wataniah 509,(20603)Pangsapuri Sri Pinang,(20861)Hospital Loh Guan Lye,(21131)Tropicana Hotel,(21359)Hotel Red Rock ,(21626)Nasi Kandar Pelita,(22034)Masjid Simpang Enam,(22246)Komtar Utara ,(22916)Terminal Komtar,(23202)Pasaraya Gama,(23423)Penang Times Square,(23730)Pasar Jalan Kuantan,(24044)Kampung Makam,(24366)SMK/SK Convent Dato Keramat,(24758)Stadium Bandaraya,(25127)Masjid Jamek Sheikh Yusof(Hospital),(25361)Dhoby Ghaut,(25698)SMK Sri Mutiara,(26201)Han Chiang College,(26840)SMK Penang Free,(27024)Restoran McDonald,(27474)SMK Convent Green Lane,(27848)Hospital Lam Wah Ee,(28433)Persatuan Kanak - Kanak Sepastik,(28723)Shell Jalan Masjid Negeri,(30032)RECSAM ,(30443)Astaka Gelugor,(30786)BSN Gelugor,(31097)Restoran Kampung Ku,(31491)SK Sungai Gelugor,(32512)Jejantas Batu Uban,(33467)Klinik Rakyat,(33739)Tapak Pesta Sg Nibong,(34107)Terminal Bas Ekpress Sg Nibong,(34283)Sungai Nibong Besar,(34611)SK Sungai Nibong,(35025)SRJK Kwang Hwa,(35807)Petronas Kampung Jawa,(36795)PSDC,(37772)Snake Temple,(38522)Kilang Clarion,(39491)Sungai Tiram,(40276)Chung Shan Chinese School,(41209)Lapangan Terbang Antarabangsa Pulau Pinang
(1)Hub Teluk Bahang,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.70,4.70,4.70,4.70,4.70,4.70,4.70,4.70
(436)Jalan Teluk Bahang,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.70,4.70,4.70,4.70,4.70,4.70,4.70
(1778)Tropical Spice Garden ,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.70,4.70,4.70,4.70,4.70,4.70
(3216)Apartment Baiduri,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.70,4.70,4.70,4.70
(3506)Feringghi Villa,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.70,4.70,4.70,4.70
(3701)Hotel Hard Rock ,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.70,4.70,4.70
(4132)By The Sea,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.70,4.70,4.70
(4559)Hotel Holiday Inn,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.70,4.70
(4785)Night Market,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.70,4.70
(5045)Long Beach,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.70,4.70
