,(1)Hospital Lam Wah Ee,(590)Persatuan Kanak - Kanak Sepastik,(1115)Pasar Batu Lanchang I,(1273)Pasar Batu Lanchang II,(1554)Flat Bata Merah,(2159)Balai Polis Jelutong,(2404)Asrama Munshi,(2591)Sunshine Jelutong,(2751)Old Town Café,(2956)Klinik Comfort,(3307)Harmony View,(3537)Klinik Kesihatan,(3830)Kampung Dodol,(4227)Taman Zainal Abidin,(4551)Stadium Bandaraya,(4943)Padang Brown,(5296)Kampung Makam,(5682)Pasar Jalan Kuantan,(5894)Penang Times Square,(6090)Pasaraya Gama,(6296)Komtar Utara ,(6755)Wisma MCA,(7052)Transfer Road,(7226)Pejabat Maritim,(7378)Sri Bahari,(7680)H.S. Sam Book Store,(7957)Love Lane,(8272)Little India,(8605)Container Hotel,(8820)Jejantas Terminal Feri,(9229)Pejabat Pos Besar P.Pinang,(9360)Pejabat Pos Besar P.Pinang 1,(9448)Balai Polis,(9705)Swettenham Pier Cruise Terminal,(9935)Church Street Pier,(10295)JETTY A
(1)Hospital Lam Wah Ee,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(590)Persatuan Kanak - Kanak Sepastik,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(1115)Pasar Batu Lanchang I,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(1273)Pasar Batu Lanchang II,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(1554)Flat Bata Merah,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(2159)Balai Polis Jelutong,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(2404)Asrama Munshi,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(2591)Sunshine Jelutong,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(2751)Old Town Café,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(2956)Klinik Comfort,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
