,(1)JETTY A,(249)Container Hotel,(516)Restoran Kapitan,(877)Kampung Kolam,(1195)Lebuh Carnavon,(1793)Komtar,(2288)Terminal Komtar,(3161)Komtar Timur,(4236)Apartment Sri Saujana,(4428)SJK Li Tek,(4672)Pejabat Pos Macallum,(5626)Pangsapuri Ocean View I,(5975)Pangsapuri Ocean View,(6320)Kompleks Makanan Ocean View,(6505)Summer Place,(6898)Persiaran Kapal Singh,(8666)Pejabat Pos Macallum,(8913)SJK Li Tek,(9085)Apartment Sri Saujana,(9711)Flat Lebuh Noordin,(9855)Jalan Magazine,(10222)Komtar,(10563)Lebuh Carnavon,(10799)Hotel Armenian,(11023)Kampung Kolam,(11350)Little India,(11683)Container Hotel,(11898)Jejantas Terminal Feri,(12306)Pejabat Pos Besar P.Pinang,(12437)Pejabat Pos Besar P.Pinang 1,(12526)Balai Polis,(12782)Swettenham Pier Cruise Terminal,(13013)Church Street Pier,(13372)JETTY A
(1)JETTY A,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(249)Container Hotel,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(516)Restoran Kapitan,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(877)Kampung Kolam,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(1195)Lebuh Carnavon,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(1793)Komtar,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(2288)Terminal Komtar,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(3161)Komtar Timur,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(4236)Apartment Sri Saujana,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
(4428)SJK Li Tek,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
