,(1)Hub Paya Terubong - Petronas,(310)Tingkat Paya Terubong4,(699)Tingkat Paya Terubong 2 - 1,(802)Tingkat Paya Terubong 2 - 2,(997)Tingkat Paya Terubong 2 - 3,(1501)Oriental Garden,(1925)Pekan Paya Terubong,(2130)Paya Terubong Cemetery,(2811)Apartment Lone Pine,(3067)Perumahan PDRM,(3241)Lebuhraya Thean Teik,(3603)Lintang Angsana,(3735)Lintang Angsana II,(4445)Flat 4E Farlim,(4720)Petronas Farlim,(4860)Klinik Kesihatan Bandar Baru Air Itam,(5373)Desa Intan,(5742)Balai Polis,(6699)Shineville Park,(7160)SMK Georgetown,(7867)SMK Convent Green Lane,(8241)Hospital Lam Wah Ee,(8826)Persatuan Kanak - Kanak Sepastik,(9351)Pasar Batu Lanchang I,(9509)Pasar Batu Lanchang II,(9790)Flat Bata Merah,(10395)Balai Polis Jelutong,(10640)Asrama Munshi,(10827)Sunshine Jelutong,(10987)Old Town Café,(11556)Taman Dato Syed Abbas,(11834)Masjid Jelutong,(12287)Pekan Jelutong,(12568)Pejabat Pos Jelutong,(12850)Bukit Dumbar,(14969)Tesco Tunku Kudin
(1)Hub Paya Terubong - Petronas,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(310)Tingkat Paya Terubong4,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(699)Tingkat Paya Terubong 2 - 1,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(802)Tingkat Paya Terubong 2 - 2,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(997)Tingkat Paya Terubong 2 - 3,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(1501)Oriental Garden,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(1925)Pekan Paya Terubong,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(2130)Paya Terubong Cemetery,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(2811)Apartment Lone Pine,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(3067)Perumahan PDRM,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(3241)Lebuhraya Thean Teik,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
