,(1)Tesco Tunku Kudin,(2202)Bukit Dumbar,(2472)Pekan Jelutong,(2948)Balai Polis Jelutong,(3775)Pasar Batu Lanchang II,(4056)Flat Bata Merah,(4482)Jalan Sir Ibrahim I,(4662)Jalan Sir Ibrahim II,(5259)Taman Hutchings,(5922)SK Batu Lanchang,(6193)SMK Georgetown,(6663)Shineville Park,(7340)All Season Place,(7722)Pasar Farlim,(7948)Tanjung Court,(8432)Klinik Kesihatan Bandar Baru Air Itam,(9118)Flat 4E Farlim,(9443)Lintang Angsana,(9709)Lebuhraya Thean Teik,(9962)Perumahan PDRM,(10231)Lone Pine Club,(10958)Paya Terubong Cemetery,(11117)Pekan Paya Terubong,(11516)Oriental Garden,(11958)Surau Al Muttaqin,(12241)Tingkat Paya Terubong4,(12630)Tingkat Paya Terubong 2 - 1,(12733)Tingkat Paya Terubong 2 - 2,(12928)Tingkat Paya Terubong 2 - 3,(13493)Surau Al Muttaqin,(13698)Hub Paya Terubong - Petronas
(1)Tesco Tunku Kudin,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(2202)Bukit Dumbar,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(2472)Pekan Jelutong,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(2948)Balai Polis Jelutong,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(3775)Pasar Batu Lanchang II,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(4056)Flat Bata Merah,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(4482)Jalan Sir Ibrahim I,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(4662)Jalan Sir Ibrahim II,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(5259)Taman Hutchings,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00
(5922)SK Batu Lanchang,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00
(6193)SMK Georgetown,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00
(6663)Shineville Park,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(7340)All Season Place,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(7722)Pasar Farlim,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(7948)Tanjung Court,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(8432)Klinik Kesihatan Bandar Baru Air Itam,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(9118)Flat 4E Farlim,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(9443)Lintang Angsana,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(9709)Lebuhraya Thean Teik,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(9962)Perumahan PDRM,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(10231)Lone Pine Club,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(10958)Paya Terubong Cemetery,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(11117)Pekan Paya Terubong,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(11516)Oriental Garden,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(11958)Surau Al Muttaqin,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,,1.40
(12241)Tingkat Paya Terubong4,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40
(12630)Tingkat Paya Terubong 2 - 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40
(12733)Tingkat Paya Terubong 2 - 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40
(12928)Tingkat Paya Terubong 2 - 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40
(13493)Surau Al Muttaqin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40
(13698)Hub Paya Terubong - Petronas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
