,(1)JETTY B,(195)Container Hotel,(462)Restoran Kapitan,(689)Masjid Kapitan Keling,(869)Love Lane,(1176)Banana Boutique,(1401)Penang Road,(1550)Pasar Chowrasta,(2145)Terminal Komtar,(2431)Pasaraya Gama,(2653)Penang Times Square,(2959)Pasar Jalan Kuantan,(3274)Kampung Makam,(3596)SMK/SK Convent Dato Keramat,(3987)Stadium Bandaraya,(4357)Masjid Jamek Sheikh Yusof(Hospital),(4591)Dhoby Ghaut,(4928)SMK Sri Mutiara,(5431)Han Chiang College,(5877)Masjid Negeri P.Pinang(Hentian Transit),(6587)Pasar Kampung Baru,(6755)Apartmen Rifle Court,(6921)Villa Sri Melati Apartment,(7153)PBA,(7427)SK Padang Tembak,(7706)Flat Padang Tembak,(8055)Jalan Sempadan,(8144)Pejabat Pos Padang Tembak,(8348)Nasi Kandar Salam,(8597)Public Bank Air Putih,(8911)Maybank Air Itam,(9321)SRJK Kong Min Pusat,(9484)Pejabat Pos Ayer Itam,(9789)Pekan Air Itam,(10229)Klinik Desa Paya Terubong.,(10573)SRJK Kong Min,(10760)Desa Permata,(11004)Ruby Court,(11384)Pangsapuri Wisma Indah,(11610)JKR Paya Terubong,(12246)Paya Terubong Cemetery,(12442)Pekan Paya Terubong,(12804)Oriental Garden,(13246)Surau Al Muttaqin,(13529)Tingkat Paya Terubong4,(13918)Tingkat Paya Terubong 2 - 1,(14021)Tingkat Paya Terubong 2 - 2,(14216)Tingkat Paya Terubong 2 - 3,(14720)Oriental Garden,(15144)Pekan Paya Terubong,(15350)Paya Terubong Cemetery,(16148)Pangsapuri Wisma Indah,(16678)Permata Court Complex,(17004)SJK Kong Min II,(17292)Klinik Desa Paya Terubong,(17528)Ambank Paya Terubong,(17995)Kek Lok Si Temple,(18365)Pejabat Pos Ayer Itam,(18594)Tadika St. Paul,(18850)CIMB Bank Ayer Itam,(19119)Masjid Jamek Al-Qadrie,(19450)Restoran Nasi Kandar Salam,(19769)Pejabat Pos Padang Tembak,(20128)Flat Padang Tembak,(20593)Kuartes PBA,(20758)PBA Padang Tembak,(21085)Lorong Padang Tembak,(21576)Masjid Negeri P.Pinang,(22010)SMKA Al-Mashoor(Hentian Transit),(22445)SMK (L) Methodist,(22855)Dhoby Ghaut,(23268)Penjara P.Pinang(Hospital),(23819)Padang Brown,(24172)Kampung Makam,(24558)Pasar Jalan Kuantan,(24770)Penang Times Square,(24966)Pasaraya Gama,(25172)Komtar Utara ,(25631)Wisma MCA,(25928)Transfer Road,(26103)Pejabat Maritim,(26254)Sri Bahari,(26556)H.S. Sam Book Store,(26833)Love Lane,(27148)Little India,(27481)Container Hotel,(27697)Jejantas Terminal Feri,(28105)Pejabat Pos Besar P.Pinang,(28236)Pejabat Pos Besar P.Pinang 1,(28325)Balai Polis,(28581)Swettenham Pier Cruise Terminal,(28811)Church Street Pier,(29257)JETTY B
(1)JETTY B,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4
(195)Container Hotel,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4
(462)Restoran Kapitan,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4
(689)Masjid Kapitan Keling,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4
(869)Love Lane,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4
(1176)Banana Boutique,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4
(1401)Penang Road,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1550)Pasar Chowrasta,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2145)Terminal Komtar,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2431)Pasaraya Gama,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
