,(1)JETTY B,(188)Container Hotel,(454)Restoran Kapitan,(682)Masjid Kapitan Keling,(862)Love Lane,(1169)Banana Boutique,(1394)Penang Road,(1543)Pasar Chowrasta,(2153)Terminal Komtar,(2424)Pasaraya Gama,(2645)Penang Times Square,(2952)Pasar Jalan Kuantan,(3266)Kampung Makam,(3588)SMK/SK Convent Dato Keramat,(3980)Stadium Bandaraya,(4349)Masjid Jamek Sheikh Yusof(Hospital),(4583)Dhoby Ghaut,(4920)SMK Sri Mutiara,(5423)Han Chiang College,(5869)Masjid Negeri P.Pinang(Hentian Transit),(6579)Pasar Kampung Baru,(6748)Apartmen Rifle Court,(6913)Villa Sri Melati Apartment,(7146)PBA,(7419)SK Padang Tembak,(7698)Flat Padang Tembak,(8048)Jalan Sempadan,(8136)Pejabat Pos Padang Tembak,(8340)Nasi Kandar Salam,(8628)BHP Kampung Baru,(8826)Wisma Yatim,(9238)SRJK Sin Kang,(9438)Desa Mawar,(9572)Fortune Court,(9979)SMK Air Itam,(10247)Desa Intan - 7D,(10672)Klinik Kesihatan Bandar Baru Air Itam,(11358)Flat 4E Farlim,(11684)Lintang Angsana,(11950)Lebuhraya Thean Teik,(12202)Perumahan PDRM,(12471)Lone Pine Club,(13198)Paya Terubong Cemetery,(13394)Pekan Paya Terubong,(13757)Oriental Garden,(14199)Surau Al Muttaqin,(14481)Tingkat Paya Terubong4,(14870)Tingkat Paya Terubong 2 - 1,(14974)Tingkat Paya Terubong 2 - 2,(15169)Tingkat Paya Terubong 2 - 3,(15734)Surau Al Muttaqin
(1)JETTY B,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(188)Container Hotel,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(454)Restoran Kapitan,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(682)Masjid Kapitan Keling,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(862)Love Lane,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(1169)Banana Boutique,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(1394)Penang Road,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(1543)Pasar Chowrasta,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(2153)Terminal Komtar,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(2424)Pasaraya Gama,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
