,(1)Tingkat Paya Terubong4,(390)Tingkat Paya Terubong 2 - 1,(494)Tingkat Paya Terubong 2 - 2,(689)Tingkat Paya Terubong 2 - 3,(1192)Oriental Garden,(1617)Pekan Paya Terubong,(1822)Paya Terubong Cemetery,(2502)Apartment Lone Pine,(2758)Perumahan PDRM,(2933)Lebuhraya Thean Teik,(3294)Lintang Angsana,(3426)Lintang Angsana II,(4137)Flat 4E Farlim,(4412)Petronas Farlim,(4551)Klinik Kesihatan Bandar Baru Air Itam,(5040)Masjid Bandar Baru Air Itam,(5306)Pasaraya Sunshine Farlim,(5613)Fortune Court,(6032)Apartmen Desa Mawar,(6335)Wisma Yatim,(6591)BHP Kampung Baru,(6865)Restoran Nasi Kandar Salam,(7183)Pejabat Pos Padang Tembak,(7542)Flat Padang Tembak,(8007)Kuartes PBA,(8173)PBA Padang Tembak,(8500)Lorong Padang Tembak,(8991)Masjid Negeri P.Pinang,(9424)SMKA Al-Mashoor(Hentian Transit),(9859)SMK (L) Methodist,(10269)Dhoby Ghaut,(10682)Penjara P.Pinang(Hospital),(11233)Padang Brown,(11586)Kampung Makam,(11973)Pasar Jalan Kuantan,(12185)Penang Times Square,(12381)Pasaraya Gama,(12587)Komtar Utara ,(13046)Wisma MCA,(13343)Transfer Road,(13517)Pejabat Maritim,(13669)Sri Bahari,(13971)H.S. Sam Book Store,(14247)Love Lane,(14563)Little India,(14896)Container Hotel,(15111)Jejantas Terminal Feri,(15520)Pejabat Pos Besar P.Pinang,(15651)Pejabat Pos Besar P.Pinang 1,(15739)Balai Polis,(15996)Swettenham Pier Cruise Terminal,(16226)Church Street Pier,(16672)JETTY B
(1)Tingkat Paya Terubong4,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(390)Tingkat Paya Terubong 2 - 1,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(494)Tingkat Paya Terubong 2 - 2,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(689)Tingkat Paya Terubong 2 - 3,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(1192)Oriental Garden,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(1617)Pekan Paya Terubong,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(1822)Paya Terubong Cemetery,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(2502)Apartment Lone Pine,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(2758)Perumahan PDRM,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(2933)Lebuhraya Thean Teik,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(3294)Lintang Angsana,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(3426)Lintang Angsana II,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(4137)Flat 4E Farlim,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(4412)Petronas Farlim,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(4551)Klinik Kesihatan Bandar Baru Air Itam,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(5040)Masjid Bandar Baru Air Itam,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(5306)Pasaraya Sunshine Farlim,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(5613)Fortune Court,,,,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
