,(1)JETTY B,(188)Container Hotel,(454)Restoran Kapitan,(682)Masjid Kapitan Keling,(862)Love Lane,(1169)Banana Boutique,(1394)Penang Road,(1543)Pasar Chowrasta,(2153)Terminal Komtar,(2424)Pasaraya Gama,(2645)Penang Times Square,(2952)Pasar Jalan Kuantan,(3266)Kampung Makam,(3588)SMK/SK Convent Dato Keramat,(3980)Stadium Bandaraya,(4349)Masjid Jamek Sheikh Yusof(Hospital),(4583)Dhoby Ghaut,(4920)SMK Sri Mutiara,(5423)Han Chiang College,(5869)Masjid Negeri P.Pinang(Hentian Transit),(6645)SMK Chung Ling (P)(Kampung baru),(7010)Wisma Yatim,(7422)SRJK Sin Kang,(7622)Desa Mawar,(7756)Fortune Court,(8163)SMK Air Itam,(8432)Desa Intan - 7D,(8857)Klinik Kesihatan Bandar Baru Air Itam,(9542)Flat 4E Farlim,(9868)Lintang Angsana,(10134)Lebuhraya Thean Teik,(10387)Perumahan PDRM,(10656)Lone Pine Club,(11326)Pangsapuri Wisma Indah,(11856)Permata Court Complex,(12183)SJK Kong Min II,(12470)Klinik Desa Paya Terubong,(12706)Ambank Paya Terubong,(13173)Kek Lok Si Temple,(13543)Pejabat Pos Ayer Itam,(13773)Tadika St. Paul,(14207)SRJK Kong Min Pusat,(14370)Pejabat Pos Ayer Itam
(1)JETTY B,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(188)Container Hotel,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(454)Restoran Kapitan,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(682)Masjid Kapitan Keling,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(862)Love Lane,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(1169)Banana Boutique,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(1394)Penang Road,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(1543)Pasar Chowrasta,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(2153)Terminal Komtar,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(2424)Pasaraya Gama,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
