,(1)Pejabat Pos Ayer Itam,(306)Pekan Air Itam,(746)Klinik Desa Paya Terubong.,(1278)Desa Permata,(1522)Ruby Court,(1902)Pangsapuri Wisma Indah,(2127)JKR Paya Terubong,(2540)Apartment Lone Pine,(2796)Perumahan PDRM,(2970)Lebuhraya Thean Teik,(3332)Lintang Angsana,(3464)Lintang Angsana II,(4174)Flat 4E Farlim,(4449)Petronas Farlim,(4589)Klinik Kesihatan Bandar Baru Air Itam,(5077)Masjid Bandar Baru Air Itam,(5344)Pasaraya Sunshine Farlim,(5651)Fortune Court,(6070)Apartmen Desa Mawar,(6372)Wisma Yatim,(6845)Balai Polis Kampung Baru,(7108)Pasar Kampung Baru,(7587)Masjid Negeri P.Pinang,(8020)SMKA Al-Mashoor(Hentian Transit),(8456)SMK (L) Methodist,(8866)Dhoby Ghaut,(9279)Penjara P.Pinang(Hospital),(9830)Padang Brown,(10183)Kampung Makam,(10569)Pasar Jalan Kuantan,(10781)Penang Times Square,(10977)Pasaraya Gama,(11183)Komtar Utara ,(11642)Wisma MCA,(11939)Transfer Road,(12113)Pejabat Maritim,(12265)Sri Bahari,(12567)H.S. Sam Book Store,(12844)Love Lane,(13159)Little India,(13492)Container Hotel,(13707)Jejantas Terminal Feri,(14116)Pejabat Pos Besar P.Pinang,(14247)Pejabat Pos Besar P.Pinang 1,(14335)Balai Polis,(14592)Swettenham Pier Cruise Terminal,(14822)Church Street Pier,(15268)JETTY B
(1)Pejabat Pos Ayer Itam,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(306)Pekan Air Itam,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(746)Klinik Desa Paya Terubong.,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(1278)Desa Permata,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(1522)Ruby Court,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(1902)Pangsapuri Wisma Indah,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(2127)JKR Paya Terubong,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(2540)Apartment Lone Pine,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(2796)Perumahan PDRM,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(2970)Lebuhraya Thean Teik,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
