,(1)Tesco Tunku Kudin,(1722)RECSAM ,(2133)Astaka Gelugor,(2762)Anggerik Villa,(3161)Astaka Taman Tun Sardon,(3556)Flat Taman Tun Sardon,(3734)Dewan JKKK,(3960)Perumahan Kastam,(4404)SK Bukit Gelugor,(4864)Jalan Delima,(5092)Jalan Delima 2,(5442)Jalan Delima 3,(5675)Jalan Delima 4,(5993)Jalan Delima 5,(6237)Jalan Delima 6,(6537)Shell Green Lane,(6979)Persatuan Kanak-Kanak Sepastik,(7409)Hospital Lam Wah Ee,(7753)Jalan Besi I,(8129)Apartmen Green Lane Height,(8306)Jalan Besi II,(8654)Jalan Tembaga,(8830)Jalan Tembaga II,(9688)Pasar Batu Lanchang I,(9846)Pasar Batu Lanchang II,(10128)Flat Bata Merah,(10553)Jalan Sir Ibrahim I,(10734)Jalan Sir Ibrahim II,(11222)SMJK Heng Ee,(11712)Taman Free School,(12016)Flat Seri Hussain,(12247)Jalan P.Ramlee I,(12527)SMK Abdullah Munshi,(12838)Rumah P.Ramlee,(13124)Penang Japanese School,(13425)JKP Sungai Pinang,(13748)Apartmen Taman Seri Petani,(14241)Jalan Patani.,(14708)Pasar Jalan Kuantan,(14920)Penang Times Square,(15116)Pasaraya Gama,(15322)Komtar Utara ,(15781)Wisma MCA,(16078)Transfer Road,(16252)Pejabat Maritim,(16404)Sri Bahari,(16706)H.S. Sam Book Store,(16983)Love Lane,(17298)Little India,(17631)Container Hotel,(17846)Jejantas Terminal Feri,(18255)Pejabat Pos Besar P.Pinang,(18386)Pejabat Pos Besar P.Pinang 1,(18474)Balai Polis,(18731)Swettenham Pier Cruise Terminal,(18961)Church Street Pier,(19407)JETTY B
(1)Tesco Tunku Kudin,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(1722)RECSAM ,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(2133)Astaka Gelugor,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(2762)Anggerik Villa,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(3161)Astaka Taman Tun Sardon,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(3556)Flat Taman Tun Sardon,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2
(3734)Dewan JKKK,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2
(3960)Perumahan Kastam,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2
(4404)SK Bukit Gelugor,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2
(4864)Jalan Delima,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2
