,(1)Hub Relau,(391)Apartmen Taman Bendera,(804)Flat 88,(1320)Kompleks Golden Triangle,(1730)Public Bank,(1956)SRJK Min Sin,(2276)Bukit Jambul Golf Club,(2577)Masjid Sungai Nibong Kecil,(3014)Kompleks Bukit Jambul,(3883)SRJK Kwang Hwa,(4140)Ayamas Sg. Nibong,(4386)Masjid Jamek Sg Nibong,(4713)Terminal Ekspress Sg Nibong,(4989)SJKC Phor Tay,(5358)SRJK Keong Hoe,(5964)Tesco Sungai Dua,(6138)Apartmen Desa Universiti,(6456)USM,(7215)Jejantas Batu Uban,(7933)Padang Bola USM,(8497)SK Sg. Gelugor,(9034)Maybank Gelugor,(9398)KTM Motor,(9847)Recsam,(11133)Lebuh Raya Gelugor I,(11510)Lebuh Raya Gelugor II,(11770)Pasar Batu Lanchang I,(12559)Balai Polis Jelutong,(12804)Asrama Munshi,(12991)Sunshine Jelutong,(13151)Old Town Café,(13610)Hong Leong Bank Jelutong,(13818)Taman Cemerlang,(13960)Maybank Jelutong,(14342)SJK(C) MOH GHEE Cawangan,(14708)Sungai Pinang,(15201)Apartmen Taman Seri Petani,(15694)Jalan Patani.,(16161)Pasar Jalan Kuantan,(16373)Penang Times Square,(16569)Pasaraya Gama,(16775)Komtar Utara ,(17350)Komtar Timur,(17505)Lebuh Carnavon,(17741)Hotel Armenian,(17965)Kampung Kolam,(18292)Little India,(18625)Container Hotel,(18840)Jejantas Terminal Feri,(19249)Pejabat Pos Besar P.Pinang,(19380)Pejabat Pos Besar P.Pinang 1,(19468)Balai Polis,(19725)Swettenham Pier Cruise Terminal,(19955)Church Street Pier,(20314)JETTY A
(1)Hub Relau,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(391)Apartmen Taman Bendera,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(804)Flat 88,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(1320)Kompleks Golden Triangle,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(1730)Public Bank,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(1956)SRJK Min Sin,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(2276)Bukit Jambul Golf Club,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(2577)Masjid Sungai Nibong Kecil,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(3014)Kompleks Bukit Jambul,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70
(3883)SRJK Kwang Hwa,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70
