,(1)JETTY A,(249)Container Hotel,(516)Restoran Kapitan,(877)Kampung Kolam,(1195)Lebuh Carnavon,(1793)Komtar,(2273)Terminal Komtar,(2771)Jalan Gudrwara,(3420)Pasar Lebuh Cecil,(4051)Apartmen Desa Selatan,(4443)Peugeot Center,(4841)Mutiara Vista,(4962)Maybank Jelutong,(5217)Shell Jelutong,(5483)Taman Dato Syed Abbas,(5762)Masjid Jelutong,(6214)Pekan Jelutong,(6496)Pejabat Pos Jelutong,(6777)Bukit Dumbar,(7935)RECSAM ,(8346)Astaka Gelugor,(8975)Anggerik Villa,(9374)Astaka Taman Tun Sardon,(9768)Flat Taman Tun Sardon,(9943)Dewan JKKK,(10172)Perumahan Kastam,(10663)Taman Bukit Gambir,(11026)SMK Bukit Gambir,(11923)Petronas,(12322)The Palazzia,(12698)Universiti Sains Malaysia,(13329)Taman Pekaka,(13659)SMK Bukit Jambul,(14277)Taman Lip Sin,(14702)Pangsapuri Golf View,(14975)Hotel Vistana,(15280)Taman Bukit Jambul,(15729)Kompleks Bukit Jambul,(16971)Kompleks Bukit Jambul II,(17425)Masjid Al- Ittifaq,(17688)Sungai Nibong Kecil,(18158)SPICE,(18648)SPICE Canopy,(19341)I Avenue,(19788)Sunshine Square,(20321)Pasaraya Giant,(20741)SMK Raja Tun uda,(21135)Klinik Kesihatan,(21753)Kampung Sungai Ara,(22202)Masjid Al-huda Sungai Ara,(22630)SMK Sungai Ara,(23027)Kem Sungai Ara,(23478)Kem Sungai Ara 2,(24136)Taman Sri Bayan,(24607)Taman Rajawali 2,(25049)Setia Triangle,(25406)Lengkok Kelicap,(25998)Klinik Menara,(26384)Kompleks Tabung Haji,(26763)SK Bayan Lepas,(27350)Taman Sri Bayu,(28015)Pekan Bayan Lepas,(28228)SJK Tamil Bayan Lepas,(28589)Kampung Seronok,(29008)Jejantas SMK Bayan Lepas,(29469)Kampung Binjai ,(29851)Kampung Permatang Damar Laut,(30542)Sekolah Memandu Damar Laut,(30727)Permatang Damar Laut,(31481)Permatang Damar Laut 2,(31569)Hadapan Desa Jelita,(31690)SK Permatang Damar Laut,(32112)Taman Gembira,(32427)Hadapan Rumah Kedai,(32807)Kampung Batu Lima,(33065)SK Batu  Maung,(33595)Southbay Residence,(33852)Pejabat Pos Batu Maung,(34421)Balai Polis Batu Maung,(35097)LSS Electric,(35369)YGGS World,(35503)SJKC Weng Khai,(35636)Kedai Kopi Kin Yuen,(36062)Kampung Naran,(36508)Pasar Batu Maung,(36856)Jalan Baru Batu Maung,(37279)Hub Batu Maung
(1)JETTY A,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
(249)Container Hotel,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
(516)Restoran Kapitan,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
(877)Kampung Kolam,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
(1195)Lebuh Carnavon,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
(1793)Komtar,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
(2273)Terminal Komtar,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00
(2771)Jalan Gudrwara,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00
(3420)Pasar Lebuh Cecil,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00
(4051)Apartmen Desa Selatan,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00
