,(1)Hub Pasaraya Giant,(1107)Pangsapuri Mayang,(1516)Taman Gedung Heights I,(1865)Taman Gedung Heights II,(2057)Gedung Height III,(2168)Gedung Height IV,(2447)Astaka Bukit Gedung,(2713)Pangsapuri Mayang,(2987)Pasaraya Giant,(3339)Masjid Bayan Baru,(3553)Sunshine Square,(3805)KFC Jalan Mahsuri,(4068)Mayang Mall,(4491)Spice,(4966)Setia Welcome Center,(5309)SRJK Min Sin,(5629)Bukit Jambul Golf Club,(5930)Masjid Sungai Nibong Kecil,(6367)Kompleks Bukit Jambul,(7342)Krystal Point Corporate Park,(9151)Queensbay Mall,(9785)Bay Garden,(10579)Taman Pantai Jerejak,(11011)Terminal Ekspress Sg Nibong,(11287)SJKC Phor Tay,(11656)SRJK Keong Hoe,(12262)Tesco Sungai Dua,(12436)Apartmen Desa Universiti,(12754)USM,(13514)Jejantas Batu Uban,(14232)Padang Bola USM,(14795)SK Sg. Gelugor,(15332)Maybank Gelugor,(15697)KTM Motor,(16145)Recsam,(17204)Shell Green Lane,(17644)Gembira Parade,(18076)Hospital Lam Wah Ee,(18522)SMK Convent Green Lane,(19044)McDonald Green Lane,(19271)SMK Penang Free,(20371)Pejabat Agama Islam,(21091)Heritage Club,(21780)St. Christoper School,(22047)Kolej Disted-Stamford,(22384)Buddhist Society,(22676)SK Jalan Residensi,(23127)Hospital P.Pinang I,(23440)Hospital P.Pinang II,(23839)Penjara P.Pinang(Hospital),(24390)Padang Brown,(24744)Kampung Makam,(25130)Pasar Jalan Kuantan,(25342)Penang Times Square,(25538)Pasaraya Gama,(25744)Komtar Utara ,(26209)TM Point,(26652)Penang Plaza,(26867)SK Pykett Methodist,(27289)1926 Heritage Hotel,(27483)Chinese Recreation Club,(27802)Gleneagles II,(28022)Sri Pangkor Kondominium,(28154)Gurney Hotel,(28359)Evergreen Hotel,(28472)Masjid Jamek Al Munawer,(28589)Flat Kelawei,(28756)Sleeping Buddha,(29010)Pangsapuri Festival,(29235)Gurney Paragon,(29478)Gurney Plaza,(29975)Jalan Bagan Jermal(Gurney),(30320)SMJK Phor Tay,(30549)Sekolah St. Nicholas ,(30797)Hospital Adventist
(1)Hub Pasaraya Giant,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1107)Pangsapuri Mayang,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1516)Taman Gedung Heights I,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1865)Taman Gedung Heights II,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2057)Gedung Height III,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2168)Gedung Height IV,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2447)Astaka Bukit Gedung,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2713)Pangsapuri Mayang,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2987)Pasaraya Giant,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(3339)Masjid Bayan Baru,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
