,(1)Hospital Adventist,(307)Midlands One Stop Centre,(526)SMK/SK Convent Pulau Tikus,(1010)Gurney Plaza,(1507)Jalan Bagan Jermal(Gurney),(1852)SMJK Phor Tay,(2082)Sekolah St. Nicholas ,(2329)Hospital Adventist,(2635)Midlands One Stop Centre,(2855)SMK/SK Convent Pulau Tikus,(3068)Belissa Row,(3476)Hardware Pulau Tikus,(4068)Apartment Villa Indah,(4948)Kolej Disted-Stamford,(5285)Buddhist Society,(6124)Kem Wataniah 509,(6316)Pangsapuri Sri Pinang,(6575)Hospital Loh Guan Lye,(6845)Tropicana Hotel,(7072)Hotel Red Rock ,(7340)Nasi Kandar Pelita,(7747)Masjid Simpang Enam,(7960)Komtar Utara ,(8644)Terminal Komtar,(8915)Pasaraya Gama,(9137)Penang Times Square,(9443)Pasar Jalan Kuantan,(9758)Kampung Makam,(10080)SMK/SK Convent Dato Keramat,(10471)Stadium Bandaraya,(10841)Masjid Jamek Sheikh Yusof(Hospital),(11075)Dhoby Ghaut,(11412)SMK Sri Mutiara,(11915)Han Chiang College,(12554)SMK Penang Free,(12737)Restoran McDonald,(13188)SMK Convent Green Lane,(13562)Hospital Lam Wah Ee,(14147)Persatuan Kanak - Kanak Sepastik,(14437)Shell Jalan Masjid Negeri,(15745)RECSAM ,(16156)Astaka Gelugor,(16500)BSN Gelugor,(16811)Restoran Kampung Ku,(17205)SK Sungai Gelugor,(18584)Jalan Sungai Dua,(18962)USM,(19437)Restoran Nasi Kandar Pelita,(19742)Tesco Sungai Dua,(20195)SRJK Keong Hoe,(20570)Klinik Kesihatan Sg Dua,(20796)Kampung Dua Bukit,(21034)Terminal Bas Ekspres Sg Nibong,(21617)Taman Pantai Jerejak,(22451)KWSP Queensbay,(23310)Queensbay Mall,(25204)Krystal Point Corporate Park,(25948)Kompleks Bukit Jambul II,(26402)Masjid Al- Ittifaq,(26664)Sungai Nibong Kecil,(27134)SPICE,(27625)SPICE Canopy,(28318)I Avenue,(28764)Sunshine Square,(29297)Pasaraya Giant,(29608)Pangsapuri Mayang,(30017)Taman Gedung Heights I,(30365)Taman Gedung Heights II,(30558)Gedung Height III,(30669)Gedung Height IV,(30948)Astaka Bukit Gedung,(31757)Hub Pasaraya Giant
(1)Hospital Adventist,,1.4,1.4,1.4,1.4,1.4,1.4,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(307)Midlands One Stop Centre,,,1.4,1.4,1.4,1.4,1.4,1.4,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(526)SMK/SK Convent Pulau Tikus,,,,1.4,1.4,1.4,1.4,1.4,1.4,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1010)Gurney Plaza,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1507)Jalan Bagan Jermal(Gurney),,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1852)SMJK Phor Tay,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2082)Sekolah St. Nicholas ,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2329)Hospital Adventist,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2635)Midlands One Stop Centre,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2855)SMK/SK Convent Pulau Tikus,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
