,(1)Hospital P.Pinang I,(451)Komplek Masyarakat Penyayang,(1346)SJK Ramakrishna,(2269)Masjid Negeri P.Pinang(Hentian Transit),(3046)SMK Chung Ling (P)(Kampung baru),(3410)Wisma Yatim,(3823)SRJK Sin Kang,(4022)Desa Mawar,(4564)SMK Air Itam,(4832)Desa Intan - 7D,(5257)Klinik Kesihatan Bandar Baru Air Itam,(5784)Lintang Angsana,(6050)Lebuhraya Thean Teik,(6303)Perumahan PDRM,(6572)Lone Pine Club,(7299)Paya Terubong Cemetery,(7494)Pekan Paya Terubong,(7857)Oriental Garden,(8299)Surau Al Muttaqin,(8582)Tingkat Paya Terubong4,(8971)Tingkat Paya Terubong 2 - 1,(9074)Tingkat Paya Terubong 2 - 2,(9269)Tingkat Paya Terubong 2 - 3,(9834)Surau Al Muttaqin,(10581)Pangsapuri Green Garden,(12027)Persimpangan Relau,(13408)Simpang Tingkat Bukit Jambul,(14137)Apartmen Taman Bendera,(14551)Flat 88,(15066)Kompleks Golden Triangle,(15477)Public Bank,(15703)SRJK Min Sin,(16023)Bukit Jambul Golf Club,(16324)Masjid Sungai Nibong Kecil,(16760)Kompleks Bukit Jambul,(17736)Krystal Point Corporate Park,(19545)Queensbay Mall,(21438)Krystal Point Corporate Park,(21851)Petronas Kampung Jawa,(22688)Jalan Mahsuri,(22952)Sunshine Square,(23485)Pasaraya Giant,(23805)Jalan Tengah,(24513)Snake Temple,(25263)Kilang Clarion,(26232)Sungai Tiram,(27017)Chung Shan Chinese School,(27950)Lapangan Terbang Antarabangsa Pulau Pinang
(1)Hospital P.Pinang I,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(451)Komplek Masyarakat Penyayang,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1346)SJK Ramakrishna,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2269)Masjid Negeri P.Pinang(Hentian Transit),,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(3046)SMK Chung Ling (P)(Kampung baru),,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4
(3410)Wisma Yatim,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4
(3823)SRJK Sin Kang,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4
(4022)Desa Mawar,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4
(4564)SMK Air Itam,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4
(4832)Desa Intan - 7D,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4
