,(1)Lapangan Terbang Antarabangsa Pulau Pinang,(1583)The Star Publication,(2479)Sungai Tiram,(2857)Dynacraft Industries Sdn. Bhd.,(3381)B Braun,(4153)Snake Temple,(4767)Jalan Tengah,(5110)Pasaraya Giant,(5462)Masjid Bayan Baru,(5676)Sunshine Square,(5958)Jalan Mahsuri,(6594)Taman Mahsuri,(7577)Krystal Point Corporate Park,(9386)Queensbay Mall,(11280)Krystal Point Corporate Park,(12023)Kompleks Bukit Jambul II,(12477)Masjid Al- Ittifaq,(12740)Sungai Nibong Kecil,(13456)Kondominium Tunas Residensi,(13820)Kompleks Golden Triangle,(14083)SK Seri Relau,(14433)Flat 88,(14741)Apartmen Taman Bendera,(14974)Pusat Agro Pelancongan,(15496)Simpang Tingkat Bukit Jambul,(18153)Pangsapuri Green Garden,(18685)Tingkat Paya Terubong4,(19075)Tingkat Paya Terubong 2 - 1,(19178)Tingkat Paya Terubong 2 - 2,(19373)Tingkat Paya Terubong 2 - 3,(19877)Oriental Garden,(20301)Pekan Paya Terubong,(20506)Paya Terubong Cemetery,(21187)Apartment Lone Pine,(21443)Perumahan PDRM,(21617)Lebuhraya Thean Teik,(21978)Lintang Angsana,(22111)Lintang Angsana II,(22390)Petronas Farlim,(22529)Klinik Kesihatan Bandar Baru Air Itam,(23018)Masjid Bandar Baru Air Itam,(23284)Pasaraya Sunshine Farlim,(23591)Fortune Court,(24010)Apartmen Desa Mawar,(24313)Wisma Yatim,(24786)Balai Polis Kampung Baru,(25048)Pasar Kampung Baru,(25527)Masjid Negeri P.Pinang,(26408)Pejabat Agama Islam,(27127)Heritage Club,(27817)St. Christoper School,(28083)Kolej Disted-Stamford,(28421)Buddhist Society,(28713)SK Jalan Residensi,(29164)Hospital P.Pinang I
(1)Lapangan Terbang Antarabangsa Pulau Pinang,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00
(1583)The Star Publication,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(2479)Sungai Tiram,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(2857)Dynacraft Industries Sdn. Bhd.,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(3381)B Braun,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(4153)Snake Temple,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(4767)Jalan Tengah,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(5110)Pasaraya Giant,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(5462)Masjid Bayan Baru,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40
(5676)Sunshine Square,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40
