,(1)Hub Gertak Sanggul,(221)Gertak Sanggul Seafood,(544)Surau Gertak Sanggul,(922)Klinik Desa,(1885)Gertak Sanggul,(4025)Taman Pasir Belanda,(4382)Taman Cahaya,(4601)Flat Kg. Suluk,(4785)SMK Teluk Kumbar 2,(5029)Jalan Kg. Suluk,(5298)Sekolah Agama Al-Itqan,(5726)Masjid Makbul Teluk Kumbar,(5951)SK Seri Bayu,(6101)7-Eleven Teluk Kumbar,(6410)Taman Bandar Perda,(6656)Taman Kumbar Permai,(6870)Lintang Kg. Masjid,(7046)Kg. Nelayan Teluk Kumbar,(7334)Balai Polis Teluk Kumbar,(7767)Hotel Grand Lexis,(7871)Restoran Sri Anjung Ikan Bakar,(8131)Flat Taman Emas Sungai Batu,(8599)SMK Teluk Kumbar,(9549)Saujana Heights,(10870)Seri Bayu,(11052)Bayu Mutiara,(11502)SK Bayan Lepas,(11767)Kampung Perlis,(11975)Klinik Kesihatan Bayan Lepas,(12188)JPAM Bayan Lepas,(12315)Setia Triangle,(12540)Taman Nuri I,(12821)Pasar MBPP,(12959)SK Mutiara Perdana,(13716)Tingkat Kenari,(14102)Kem Sungai Ara 2,(14503)SMK Sungai Ara,(14761)SK Agama Sungai Ara,(15357)Kampung Sungai Ara,(15942)Klinik Kesihatan,(16346)Hospital Pantai Mutiara,(16531)Giant Bayan Baru,(16729)Pasaraya Giant,(17081)Masjid Bayan Baru,(17295)Sunshine Square,(17547)KFC Jalan Mahsuri,(17810)Mayang Mall,(18233)Spice,(18708)Setia Welcome Center,(19051)SRJK Min Sin,(19371)Bukit Jambul Golf Club,(19672)Masjid Sungai Nibong Kecil,(20109)Kompleks Bukit Jambul,(21084)Krystal Point Corporate Park,(22893)Queensbay Mall,(23527)Bay Garden,(24321)Taman Pantai Jerejak,(24753)Terminal Ekspress Sg Nibong,(25029)SJKC Phor Tay,(25398)SRJK Keong Hoe,(26004)Tesco Sungai Dua,(26179)Apartmen Desa Universiti,(26497)USM,(27425)JPJ Batu Uban,(27864)Klinik Rakyat,(28136)Tapak Pesta Sg Nibong,(28504)Terminal Bas Ekpress Sg Nibong,(29294)Hadapan Depo Sungai Nibong
(1)Hub Gertak Sanggul,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(221)Gertak Sanggul Seafood,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(544)Surau Gertak Sanggul,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(922)Klinik Desa,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(1885)Gertak Sanggul,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(4025)Taman Pasir Belanda,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(4382)Taman Cahaya,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(4601)Flat Kg. Suluk,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(4785)SMK Teluk Kumbar 2,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
(5029)Jalan Kg. Suluk,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
