,(1)Hadapan Depo Sungai Nibong,(1207)Tapak Pesta Sg Nibong,(1578)Taman Century,(1993)JPJ Batu Uban,(2139)Sekolah Memandu Batu Uban,(2836)USM,(3310)Restoran Nasi Kandar Pelita,(3616)Tesco Sungai Dua,(4069)SRJK Keong Hoe,(4444)Klinik Kesihatan Sg Dua,(4670)Kampung Dua Bukit,(4904)Terminal Bas Ekspres Sg Nibong,(5491)Taman Pantai Jerejak,(6325)KWSP Queensbay,(7184)Queensbay Mall,(9078)Krystal Point Corporate Park,(9821)Kompleks Bukit Jambul II,(10275)Masjid Al- Ittifaq,(10538)Sungai Nibong Kecil,(11008)SPICE,(11499)SPICE Canopy,(12192)I Avenue,(12638)Sunshine Square,(13171)Pasaraya Giant,(13591)SMK Raja Tun uda,(13986)Klinik Kesihatan,(14603)Kampung Sungai Ara,(15053)Masjid Al-huda Sungai Ara,(15480)SMK Sungai Ara,(15878)Kem Sungai Ara,(16329)Kem Sungai Ara 2,(16986)Taman Sri Bayan,(17199)Taman Rajawali,(17458)Taman Rajawali 2,(17939)Kompleks Tabung Haji,(18317)SK Bayan Lepas,(18904)Taman Sri Bayu,(19570)Pekan Bayan Lepas,(20530)Saujana Height,(21024)Teluk Kumbar Height,(21775)Masjid Sungai Batu,(22263)Flat Taman Emas Sungai Batu,(22756)Pekan Teluk Kumbar,(23038)Balai Polis Teluk Kumbar,(23316)Kg. Nelayan Teluk Kumbar,(23730)Taman Kumbar Permai,(23993)Taman Bandar Perda,(24312)7-Eleven Teluk Kumbar,(24411)SK Seri Bayu,(25048)Sekolah Agama Al-Itqan,(25308)Jalan Kg. Suluk,(25583)SMK Teluk Kumbar 2,(25820)Flat Kg. Suluk,(26375)Taman Pasir Belanda,(27396)Kawasan Perkelahan Tanjung Asam,(29629)SKJK Poi Eng,(29936)Balai Polis Gertak Sanggul,(30296)Hub Gertak Sanggul
(1)Hadapan Depo Sungai Nibong,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(1207)Tapak Pesta Sg Nibong,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(1578)Taman Century,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(1993)JPJ Batu Uban,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(2139)Sekolah Memandu Batu Uban,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(2836)USM,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(3310)Restoran Nasi Kandar Pelita,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(3616)Tesco Sungai Dua,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(4069)SRJK Keong Hoe,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(4444)Klinik Kesihatan Sg Dua,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(4670)Kampung Dua Bukit,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(4904)Terminal Bas Ekspres Sg Nibong,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(5491)Taman Pantai Jerejak,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70
(6325)KWSP Queensbay,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70
(7184)Queensbay Mall,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70
(9078)Krystal Point Corporate Park,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70
(9821)Kompleks Bukit Jambul II,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70
(10275)Masjid Al- Ittifaq,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(10538)Sungai Nibong Kecil,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(11008)SPICE,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(11499)SPICE Canopy,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(12192)I Avenue,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(12638)Sunshine Square,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
