,(1)Kampung Matahari Naik,(326)Hentian Kampung Bukit,(615)Bandar Baru Teluk Kumbar,(1016)SK Teluk Kumbar,(1528)Hotel Grand Lexis,(1633)Restoran Sri Anjung Ikan Bakar,(1893)Flat Taman Emas Sungai Batu,(2361)SMK Teluk Kumbar,(3311)Saujana Heights,(4697)Pekan Bayan Lepas,(5134)Apartment Bayan Permai,(6070)Ideal One Resident,(7063)Ideal Summer Skye Square,(7674)The Star Publication,(8617)Chung Shan Chinese School,(9551)Lapangan Terbang Antarabangsa Pulau Pinang,(11133)The Star Publication,(12029)Sungai Tiram,(12407)Dynacraft Industries Sdn. Bhd.,(12931)B Braun,(13703)Snake Temple,(14445)Taman Sri Tunas,(15476)Taman Mahsuri,(16481)SRJK Kwang Hwa,(16738)Ayamas Sg. Nibong,(16983)Masjid Jamek Sg Nibong,(17358)Terminal Bas Ekspres Sg Nibong,(17860)Tapak Pesta Sg Nibong,(18231)Taman Century,(18646)JPJ Batu Uban,(18792)Sekolah Memandu Batu Uban,(19169)Jejantas Batu Uban,(19887)Padang Bola USM,(20450)SK Sg. Gelugor,(20987)Maybank Gelugor,(21352)KTM Motor,(21800)Recsam,(23019)Bukit Dumbar,(23288)Pekan Jelutong,(23793)Asrama Munshi,(23980)Sunshine Jelutong,(24140)Old Town Café,(24600)Hong Leong Bank Jelutong,(24807)Taman Cemerlang,(24950)Maybank Jelutong,(25331)SJK(C) MOH GHEE Cawangan,(25697)Sungai Pinang,(26190)Apartmen Taman Seri Petani,(26424)Apartmen Taman Sri Pinang,(26688)Flat PPR Jalan Sungai,(27127)Persimpangan Jalan S.P Chelliah,(27804)Presgrave Corner,(28150)Komtar,(28491)Lebuh Carnavon,(28727)Hotel Armenian,(28951)Kampung Kolam,(29278)Little India,(29611)Container Hotel,(29826)Jejantas Terminal Feri,(30234)Pejabat Pos Besar P.Pinang,(30365)Pejabat Pos Besar P.Pinang 1,(30454)Balai Polis,(30710)Swettenham Pier Cruise Terminal,(30941)Church Street Pier,(31300)JETTY A
(1)Kampung Matahari Naik,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(326)Hentian Kampung Bukit,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(615)Bandar Baru Teluk Kumbar,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1016)SK Teluk Kumbar,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1528)Hotel Grand Lexis,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1633)Restoran Sri Anjung Ikan Bakar,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1893)Flat Taman Emas Sungai Batu,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2361)SMK Teluk Kumbar,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(3311)Saujana Heights,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(4697)Pekan Bayan Lepas,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
