,(1)Terminal Bas Balik Pulau,(738)Pekan Kongsi,(980)Pejabat Pos B.Pulau,(1477)SK Kongsi ,(1920)Taman Seri Indah,(2197)IPD Balik Pulau,(2739)Taman Sri Genting,(3102)SMK Pondok Upeh,(3297)Masjid Jamek Kampung Paya,(3903)Hub Pekan Genting,(4097)Kolej Kemahiran Tinggi Mara Balik Pulau,(6711)Bukit Genting,(9223)Kampung Matahari Naik,(9548)Hentian Kampung Bukit,(9837)Bandar Baru Teluk Kumbar,(10237)SK Teluk Kumbar,(10750)Hotel Grand Lexis,(10854)Restoran Sri Anjung Ikan Bakar,(11114)Flat Taman Emas Sungai Batu,(11582)SMK Teluk Kumbar,(12532)Saujana Heights,(13918)Pekan Bayan Lepas,(14356)Apartment Bayan Permai,(15291)Ideal One Resident,(16284)Ideal Summer Skye Square,(16896)The Star Publication,(17838)Chung Shan Chinese School,(18772)Lapangan Terbang Antarabangsa Pulau Pinang,(20354)The Star Publication,(21250)Sungai Tiram,(21628)Dynacraft Industries Sdn. Bhd.,(22152)B Braun,(22925)Snake Temple,(23539)Jalan Tengah,(23881)Pasaraya Giant,(24233)Masjid Bayan Baru,(24447)Sunshine Square,(24699)KFC Jalan Mahsuri,(24963)Mayang Mall,(25385)Spice,(25860)Setia Welcome Center,(26203)SRJK Min Sin,(26523)Bukit Jambul Golf Club,(26824)Masjid Sungai Nibong Kecil,(27261)Kompleks Bukit Jambul,(28236)Krystal Point Corporate Park,(30045)Queensbay Mall,(30679)Bay Garden,(31046)Putra Place,(31451)Jeti Pulau Jerejak,(32833)E-Park Kondominium,(34825)The Light,(35453)Tesco Tunku Kudin,(37058)Mutiara Height,(39654)Flat Macullum,(40242)Flat Lebuh Noordin,(40753)Komtar,(41505)Komtar Utara ,(42079)Komtar Timur,(43497)Jejantas Terminal Feri,(43906)Pejabat Pos Besar P.Pinang,(44037)Pejabat Pos Besar P.Pinang 1,(44125)Balai Polis,(44382)Swettenham Pier Cruise Terminal,(44612)Church Street Pier,(44972)JETTY A
(1)Terminal Bas Balik Pulau,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4
(738)Pekan Kongsi,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4
(980)Pejabat Pos B.Pulau,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4
(1477)SK Kongsi ,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4
(1920)Taman Seri Indah,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4
(2197)IPD Balik Pulau,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4
(2739)Taman Sri Genting,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4
(3102)SMK Pondok Upeh,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4
(3297)Masjid Jamek Kampung Paya,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4
(3903)Hub Pekan Genting,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4
