,(1)JETTY A,(1093)Flat Lebuh Noordin,(2085)Terminal Komtar,(2973)Komtar Timur,(4034)Flat Macallum,(6582)Mutiara Height,(8322)Jabatan Laut Wilayah Utara,(8900)The Light,(11012)Batu Uban Highway,(12151)Jeti Pulau Jerejak,(12567)Gold Coast Kondominium,(12936)KWSP Queensbay,(13795)Queensbay Mall,(15689)Krystal Point Corporate Park,(16433)Kompleks Bukit Jambul II,(16887)Masjid Al- Ittifaq,(17149)Sungai Nibong Kecil,(17619)SPICE,(18110)SPICE Canopy,(18803)I Avenue,(19249)Sunshine Square,(19782)Pasaraya Giant,(20121)Jalan Tengah,(20828)Snake Temple,(21579)Kilang Clarion,(22547)Sungai Tiram,(23333)Chung Shan Chinese School,(24265)Lapangan Terbang Antarabangsa Pulau Pinang,(25463)Apartment Bayan Permai,(26002)Pekan Bayan Lepas,(26962)Saujana Height,(27456)Teluk Kumbar Height,(28207)Masjid Sungai Batu,(28695)Flat Taman Emas Sungai Batu,(29188)Pekan Teluk Kumbar,(29646)SK Teluk Kumbar,(29879)Bandar Baru Perda,(30192)Hentian Kampung Bukit,(30780)PUSPAKOM,(33080)Bukit Genting,(35909)Hub Pekan Genting,(36438)SMK Pondok Upeh Balik Pulau,(36760)Masjid Daerah Balik Pulau,(37249)IPD Barat Daya,(37541)Taman Seri Indah,(38034)SK Kongsi,(38281)Masjid Kongsi,(38464)Pejabat Pos Balik Pulau,(38649)AADK Pekan Kongsi,(39030)SRJK Chong Teik,(39359)Terminal Bas Balik Pulau
(1)JETTY A,,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
(1093)Flat Lebuh Noordin,,,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
(2085)Terminal Komtar,,,,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
(2973)Komtar Timur,,,,,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
(4034)Flat Macallum,,,,,,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
(6582)Mutiara Height,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,4.00,4.00,4.00,4.00,4.00,4.00,4.00
(8322)Jabatan Laut Wilayah Utara,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.00
(8900)The Light,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(11012)Batu Uban Highway,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40
(12151)Jeti Pulau Jerejak,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
