,(1)Terminal Bas Balik Pulau,(740)Pekan Kongsi,(967)Hospital Balik Pulau,(1196)Taman Impian,(1567)Taman Poket Jalan Chai,(1909)Pejabat Agama Daerah,(2305)SK Titi Teras,(2496)Dewan JKKP Titi Teras,(2884)Balai Bomba Air Putih,(3250)Pejabat Kesihatan Barat Daya,(3673)Taman Manggis Indah,(4108)Simpang Bandar Baru Air Putih,(4579)Bandar Baru Air Putih 1,(5258)Bandar Baru Air Putih 2,(5856)Permatang Pasir,(6143)Taman Mutiara,(6547)Kraf Batik Sungai Rusa,(6686)Jalan Sungai Rusa 2,(6877)Jalan Sungai Rusa 1,(7125)Masjid Jamek Sungai Rusa,(7396)Sekolah Agama Sungai Rusa,(7613)Kampung Sungai Rusa,(8259)Madrasah Tahfiz - Irfanratul,(8500)Jalan Kuala Sg. Pinang,(9154)Taman Jelita,(9379)Pekan Kuala Sg. Pinang,(10155)Kuala Sg. Pinang,(10599)Surau Al Hidayah,(11072)Kuala Sg.Pinang 1,(11478)Kuala Sg.Pinang 2,(11970)SJK Yu Chye,(12862)Balai Polis Sg. Pinang,(13052)Klinik Desa Sg. Pinang,(13276)Kampung Sungai Pinang,(13527)SK Sungai Pinang,(13673)Pasar Sg. Pinang,(13999)Kem PLKN Sg. Pinang,(14242)Jalan Haji Hamid Senawi,(14537)Jalan Haji Abd. Ghani Taib,(14763)Surau Haji Hashim,(15238)Kampung Bukit Kecil,(16168)Pulaza Balik Pulau,(16434)Pusat Falak Sheik Tahir,(17356)Hub Pantai Acheh,(17962)Pusat Falak Sheik Tahir,(18361)Pulaza Balik Pulau,(19078)Kampung Bukit Kecil,(19650)Surau Haji Hashim,(19854)Jalan Haji Abd. Ghani Taib,(20182)Jalan Haji Hamid Senawi,(20393)Kem PLKN Sg.Pinang,(20715)SRJK Sin Min,(20945)SK Sungai Pinang,(21105)Kampung Sungai Pinang,(21350)Klinik Desa Sg. Pinang,(21641)Jalan Kuala Sg. Pinang,(22296)Taman Jelita,(22521)Pekan Kuala Sg. Pinang,(23297)Kuala Sg. Pinang,(23741)Surau Al Hidayah,(24213)Kuala Sg.Pinang 1,(24620)Kuala Sg.Pinang 2,(25112)SJK Yu Chye,(26004)Balai Polis Sg. Pinang,(26250)Madrasah Tahfiz - Irfanratul,(26757)Kampung Sungai Rusa,(27046)Sekolah Agama Sungai Rusa,(27262)Masjid Jamek Sungai Rusa,(27533)Jalan Sungai Rusa 1,(27900)Kraf Batik Sungai Rusa,(28134)Taman Sungai Rusa,(28307)Taman Mutiara,(28572)Permatang Pasir,(28680)Simpang Bandar Baru Air Putih,(29150)Bandar Baru Air Putih 1,(29829)Bandar Baru Air Putih 2,(30431)Kampung Permatang Pasir,(30791)Taman Manggis Indah,(31179)Pejabat Kesihatan Barat Daya,(31512)Balai Bomba Air Putih,(31807)Dewan JKKK Titi Teras,(32061)SK Titi Teras,(32431)Pejabat Agama Daerah,(32813)Taman Poket Jalan Chai,(33144)Taman Impian,(33499)Pejabat Daerah dan Tanah ,(33916)SRJK Chong Teik,(34245)Terminal Bas Balik Pulau
(1)Terminal Bas Balik Pulau,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(740)Pekan Kongsi,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(967)Hospital Balik Pulau,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(1196)Taman Impian,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(1567)Taman Poket Jalan Chai,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(1909)Pejabat Agama Daerah,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(2305)SK Titi Teras,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(2496)Dewan JKKP Titi Teras,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(2884)Balai Bomba Air Putih,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(3250)Pejabat Kesihatan Barat Daya,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
