,(1)Hub Pekan Genting,(530)SMK Pondok Upeh Balik Pulau,(852)Masjid Daerah Balik Pulau,(1341)IPD Barat Daya,(1633)Taman Seri Indah,(2126)SK Kongsi,(2373)Masjid Kongsi,(2556)Pejabat Pos Balik Pulau,(2741)AADK Pekan Kongsi,(3122)SRJK Chong Teik,(3453)Terminal Bas Balik Pulau,(6059)Temple Jalan Tun Sardon,(7203)Kebun Bunga Bukit Baru,(7882)Jalan Tun Sardon KM380,(8536)Anjung Indah II,(10077)Sardon Hill,(11661)Persimpangan Relau,(13178)Pangsapuri Green Garden,(13711)Tingkat Paya Terubong4,(14100)Tingkat Paya Terubong 2 - 1,(14203)Tingkat Paya Terubong 2 - 2,(14398)Tingkat Paya Terubong 2 - 3,(14902)Oriental Garden,(15326)Pekan Paya Terubong,(15531)Paya Terubong Cemetery,(16330)Pangsapuri Wisma Indah,(16859)Permata Court Complex,(17186)SJK Kong Min II,(17474)Klinik Desa Paya Terubong,(17709)Ambank Paya Terubong,(18177)Kek Lok Si Temple,(18547)Pejabat Pos Ayer Itam,(18776)Tadika St. Paul,(19032)CIMB Bank Ayer Itam,(19301)Masjid Jamek Al-Qadrie,(19800)BHP Kampung Baru,(20222)Balai Polis Kampung Baru,(20485)Pasar Kampung Baru,(20964)Masjid Negeri P.Pinang,(21397)SMKA Al-Mashoor(Hentian Transit),(21833)SMK (L) Methodist,(22243)Dhoby Ghaut,(22656)Penjara P.Pinang(Hospital),(23207)Padang Brown,(23560)Kampung Makam,(23946)Pasar Jalan Kuantan,(24158)Penang Times Square,(24354)Pasaraya Gama,(24560)Komtar Utara ,(25019)Wisma MCA,(25316)Transfer Road,(25490)Pejabat Maritim,(25642)Sri Bahari,(25853)Hotel Cititel,(26042)Protestant Cemetry,(26741)Padang SMK Convent ,(27125)Dewan Sri Pinang,(27341)Padang Kota Lama,(27670)Swettenham Pier Cruise Terminal,(27900)Church Street Pier,(28259)JETTY A
(1)Hub Pekan Genting,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(530)SMK Pondok Upeh Balik Pulau,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(852)Masjid Daerah Balik Pulau,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1341)IPD Barat Daya,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1633)Taman Seri Indah,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2126)SK Kongsi,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2373)Masjid Kongsi,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2556)Pejabat Pos Balik Pulau,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2741)AADK Pekan Kongsi,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(3122)SRJK Chong Teik,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
