,(1)JETTY A,(249)Container Hotel,(963)Pejabat Pos Besar P.Pinang,(1094)Pejabat Pos Besar P.Pinang 1,(1182)Balai Polis,(1632)Bank Negara Malaysia,(1875)Muzium Pulau Pinang,(2124)SMK ST. Xavier,(2557)Hotel Cititel,(2866)Penang Road,(3015)Pasar Chowrasta,(3625)Terminal Komtar,(3896)Pasaraya Gama,(4118)Penang Times Square,(4424)Pasar Jalan Kuantan,(4739)Kampung Makam,(5061)SMK/SK Convent Dato Keramat,(5452)Stadium Bandaraya,(5821)Masjid Jamek Sheikh Yusof(Hospital),(6055)Dhoby Ghaut,(6392)SMK Sri Mutiara,(6896)Han Chiang College,(7341)Masjid Negeri P.Pinang(Hentian Transit),(8118)SMK Chung Ling (P)(Kampung baru),(8516)BHP Kampung Baru,(8900)Public Bank Air Putih,(9213)Maybank Air Itam,(9623)SRJK Kong Min Pusat,(9786)Pejabat Pos Ayer Itam,(10091)Pekan Air Itam,(10531)Klinik Desa Paya Terubong.,(10875)SRJK Kong Min,(11063)Desa Permata,(11177)Permata Court Complex,(11307)Ruby Court,(11687)Pangsapuri Wisma Indah,(11912)JKR Paya Terubong,(12548)Paya Terubong Cemetery,(12744)Pekan Paya Terubong,(13107)Oriental Garden,(13549)Surau Al Muttaqin,(13831)Tingkat Paya Terubong4,(14221)Tingkat Paya Terubong 2 - 1,(14324)Tingkat Paya Terubong 2 - 2,(14519)Tingkat Paya Terubong 2 - 3,(15084)Surau Al Muttaqin,(15831)Pangsapuri Green Garden,(17277)Persimpangan Relau,(19017)Sardon Hill,(20517)Anjung Indah I,(20617)Anjung Indah II,(21323)Jalan Tun Sardon KM380,(21925)Kebun Bunga Bukit Baru,(23131)Temple Jalan Tun Sardon,(25608)Terminal Bas Balik Pulau,(26345)Pekan Kongsi,(26587)Pejabat Pos B.Pulau,(27083)SK Kongsi ,(27527)Taman Seri Indah,(27804)IPD Balik Pulau,(28345)Taman Sri Genting,(28708)SMK Pondok Upeh,(28904)Masjid Jamek Kampung Paya,(29245)Kolej Kemahiran Tinggi Mara Balik Pulau,(29510)Hub Pekan Genting
(1)JETTY A,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(249)Container Hotel,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(963)Pejabat Pos Besar P.Pinang,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1094)Pejabat Pos Besar P.Pinang 1,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1182)Balai Polis,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1632)Bank Negara Malaysia,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(1875)Muzium Pulau Pinang,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2124)SMK ST. Xavier,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2557)Hotel Cititel,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
(2866)Penang Road,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
