,(1)Kompleks Dato Kailan,(1301)Taman Bertam Ria,(1905)Hospital Kepala Batas,(2304)IPD Seberang Prai Utara,(2751)Pejabat Tanah Kepala Batas,(3570)Masjid At-Taqwa Bertam,(4153)SK/SMK Bertam Indah,(5004)Taman Bertam,(5834)Taman Paya Keladi,(6357)Lahar Ikan Mati,(6885)Kampung Datuk,(7423)Pasaraya Longwan,(7824)Kompleks Kepala Batas,(8119)Pekan Lama Kepala Batas,(8971)Pasar Permatang Manggis,(10170)Taman Permatang Sintok,(10415)Klinik Desa Permatang Sintok,(11005)Permatang Pak Elong,(11945)Permatang Binjal,(13528)Taman Air Tawar Indah,(13777)Taman Air Tawar Indah 2,(14112)Klinik Desa Teluk Air Tawar,(14508)SK Telok Air Tawar,(15068)Masjid Jamek Daerah SPU,(15263)Taman Ratna,(15634)Kolej Vokasional Butterworth,(15902)SK Taman Senangan,(16769)Pangkalan TUDM,(17275)Kuarters TUDM,(17666)Padang Golf TUDM,(18038)Bagan Lebai Tahir,(18367)SMK ST Mark,(18649)SK Bagan Ajam,(18961)Bagan Ajam,(19351)Pasar Awam,(19515)Tesco Bagan Ajam,(19875)Taman Bagan Ajam,(20403)SK Bagan Jermal,(20815)Jabatan Pertahanan Awam,(21345)Taman Riang,(21817)Masjid Kubang Buaya,(22069)Wisma Peladang,(22317)SJKC Chung Hwa Pusat,(23143)Dataran Pemuda Merdeka,(23530)Jabatan Pertanian,(24089)Taman Selat,(24377)Maybank Butterworth,(25320)Penang Sentral
(1)Kompleks Dato Kailan,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(1301)Taman Bertam Ria,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(1905)Hospital Kepala Batas,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(2304)IPD Seberang Prai Utara,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(2751)Pejabat Tanah Kepala Batas,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(3570)Masjid At-Taqwa Bertam,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(4153)SK/SMK Bertam Indah,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(5004)Taman Bertam,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70
(5834)Taman Paya Keladi,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70
(6357)Lahar Ikan Mati,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70
