,(1)Penang Sentral,(3404)Taman Selat,(4120)Pejabat Kesihatan SPU,(4556)Public Mutual Bagan Luar,(5026)Kampung Gajah,(5302)SJKC Chung Hwa Pusat,(5679)Masjid Kubang Buaya,(6082)Taman Riang,(6532)Taman Bagan Jermal,(6670)Mahkamah Majistret,(7060)SK Bagan Jermal,(7417)Taman Bagan Ajam,(7825)Taman Molek,(8072)Tesco Bagan Ajam,(8665)Bagan Ajam,(8968)SMK Dato 'Onn,(9181)SMK ST Mark,(9578)Bagan Lebai Tahir,(10275)Kuarters TUDM,(10739)Pangkalan TUDM,(11593)SK Taman Senangan,(11934)Taman Robina,(12251)Taman Teluk Molek,(12487)SMK Telok Air Tawar,(13067)SK Telok Air Tawar,(13449)Masjid Jamek Teluk Air Tawar,(13747)Teluk Air Tawar Indah,(14078)Hub Teluk Air Tawar,(15701)Permatang Binjal,(16553)Permatang Pak Elong,(16987)Permatang Sintok,(17344)Taman Permatang Sintok,(17496)Permatang Tok Loba,(18541)Pasar Awam Kepala Batas,(18780)Permatang Manggis,(19255)Taman Sepakat,(19602)Taman Aman Putra,(20252)Balai Polis Trafik Kepala Batas,(20612)Kampung Datok,(21161)Lahar Ikan Mati,(21763)Kemas Kepala Batas,(22392)Taman Bertam Indah,(22871)Taman Bertam Indah 2,(23226)Bertam Indah,(23899)Masjid At-Taqwa,(25152)IPD Seberang Prai Utara,(25494)Hospital Kepala Batas,(25857)Pejabat Tanah,(26773)Kompleks Dato Kailan
(1)Penang Sentral,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(3404)Taman Selat,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(4120)Pejabat Kesihatan SPU,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(4556)Public Mutual Bagan Luar,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(5026)Kampung Gajah,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(5302)SJKC Chung Hwa Pusat,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(5679)Masjid Kubang Buaya,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70
(6082)Taman Riang,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70
(6532)Taman Bagan Jermal,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70
(6670)Mahkamah Majistret,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70
