,(1)Hub Kuala Muda,(356)Balai Bomba Kuala Muda,(564)Desa Kuala Muda,(1049)Taman Desa Kuala Muda,(1359)Dewan Bakau Tua,(1612)Bakau Tua,(1842)Padang SK Pulau Mertajam,(2170)SK Pulau Mertajam,(2302)Masjid Pulau Mertajam,(2500)Pulau Mertajam,(2736)Kampung Telok Manan,(2991)Kampung Telok Manan 2,(3687)Masjid Permatang Bendahari,(4330)Permatang Bendahari,(4934)Sungai Kedak,(5378)Kampung Tok Oteh,(5952)Tali Air Permatang Bendahari,(6839)SMK Tok Labu,(7220)Pasir Gebu,(7475)Bakar Kapor,(8037)Masjid Bakar Kapor,(8301)Dewan Bakar Kapor,(8699)SMK Sri Muda,(9860)Pekan Penaga ,(10269)Kg Penaga Dua,(10693)Permatang Pak Maras ,(11082)Permatang Berah,(11630)Kampung Permatang Berah,(12533)Titi Mukim,(13612)Taman Air Tawar Indah,(13861)Taman Air Tawar Indah 2,(14197)Klinik Desa Teluk Air Tawar,(14592)SK Telok Air Tawar,(15152)Masjid Jamek Daerah SPU,(15347)Taman Ratna,(15719)Kolej Vokasional Butterworth,(15987)SK Taman Senangan,(16854)Pangkalan TUDM,(17359)Kuarters TUDM,(17751)Padang Golf TUDM,(18123)Bagan Lebai Tahir,(18451)SMK ST Mark,(18733)SK Bagan Ajam,(19045)Bagan Ajam,(19435)Pasar Awam,(19599)Tesco Bagan Ajam,(19676)Pejabat Pos Bagan Ajam,(19959)Taman Bagan Ajam,(20487)SK Bagan Jermal,(20900)Jabatan Pertahanan Awam,(21429)Taman Riang,(21902)Masjid Kubang Buaya,(22154)Wisma Peladang,(22401)SJKC Chung Hwa Pusat,(23228)Dataran Pemuda Merdeka,(23614)Jabatan Pertanian,(24173)Taman Selat,(24461)Maybank Butterworth,(25404)Penang Sentral
(1)Hub Kuala Muda,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40
(356)Balai Bomba Kuala Muda,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40
(564)Desa Kuala Muda,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40
(1049)Taman Desa Kuala Muda,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40
(1359)Dewan Bakau Tua,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40
(1612)Bakau Tua,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(1842)Padang SK Pulau Mertajam,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(2170)SK Pulau Mertajam,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(2302)Masjid Pulau Mertajam,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(2500)Pulau Mertajam,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
