,(1)Hub Teluk Air Tawar,(1850)Kedai Runcit Permatang Binjai,(2605)Ban Chuan Seng Rice & Oil Mills,(3175)Masjid Permatang Tok Gelam,(3534)Tali Air Permatang Tok Gelam,(4419)Klinik Desa,(4590)Persimpang Jalan Haji Murshid,(4755)Masjid Pekan Darat,(5031)SMK Permatang Tok Jaya,(5756)Surau Permatang Tok Jaya,(6800)Masjid Permatang Tok Jaya,(7310)Sidee Frozen,(7614)Pekan Maklom,(7845)Taman Seri Pinang,(8092)Pekan Sg.Puyu,(8970)BGM Building,(9295)Taman Cengal,(9634)Bagan Lalang,(9974)Taman Dedap,(10512)Taman Mesra,(10857)Taman Sentral,(11282)Taman Bagan Lalang,(11671)Taman Mak Mandin II,(11881)Taman Mak Mandin,(12056)Evergreen Paper,(12370)Balai Polis Mak Mandin,(12663)Flat Mak Mandin,(13167)Astaka Mak Mandin,(13507)Taman Bagan,(13683)Taman Bagan II,(13885)Taman Bagan III,(14308)Pasaraya Billion,(14591)Pangsapuri Telaga Emas,(15419)Dataran Pemuda Merdeka,(15805)Jabatan Pertanian,(16365)Taman Selat,(16653)Maybank Butterworth,(17596)Penang Sentral
(1)Hub Teluk Air Tawar,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70
(1850)Kedai Runcit Permatang Binjai,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70
(2605)Ban Chuan Seng Rice & Oil Mills,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70
(3175)Masjid Permatang Tok Gelam,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(3534)Tali Air Permatang Tok Gelam,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(4419)Klinik Desa,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(4590)Persimpang Jalan Haji Murshid,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(4755)Masjid Pekan Darat,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(5031)SMK Permatang Tok Jaya,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(5756)Surau Permatang Tok Jaya,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(6800)Masjid Permatang Tok Jaya,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00
(7310)Sidee Frozen,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00
(7614)Pekan Maklom,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00
