,(1)The Summit,(832)Plaza Utama,(2590)SM Islam Al-Masriyah,(2840)Petronas Tanah Liat,(3242)Masjid Tanah Liat,(3344)Kolej Komuniti Bkt Mertajam,(3644)Taman Guru,(3942)SK Tanah Liat,(4270)Permatang Tok Elong,(4739)Kampung Sungai Semambu,(5295)Klinik Kesihatan Kubang Semang,(5527)Masjid Kubang Semang,(5912)SK Penanti,(6277)Kampung Petani,(6934)SK. Bukit Indera Muda,(7369)Masjid Al Muhtadin,(8021)Madrasah Al Nur,(8990)Giat MARA Permatang Pauh,(9664)SK Permatang Pasir,(10055)PPD Tengah Permatang Pasir,(10336)Permatang Pasir,(11091)Pengkalan Tambang,(11560)Taman Pasir Indah,(12202)Taman Desa Murni,(12449)Ambank Desa Murni,(12854)Desa Murni,(13072)Klinik Kesihatan,(13619)Pekan Sungai Dua,(13889)SK Sungai Dua,(14623)Masjid Al Marbawi,(15102)Taman Seri Merbau,(15393)Taman Merbau Jaya,(15652)Lorong Haji Din,(16246)Masjid Nyior Sebatang,(17122)Nyior Sebatang,(17355)SK Lahar Yooi,(18092)Lubuk Meriam,(18668)Taman Pokok Sena Indah,(19219)Pokok Sena,(19838)SMKA Al Irshad,(20266)Kampung Baru,(20670)Taman Koskam,(21016)Taman Orkid Indah,(21413)Taman Orkid,(21754)Masjid Jamek Pongsu Seribu,(22464)Kolej Matrikulasi Kepala Batas,(22928)Pejabat Peladang Kepala Batas,(23895)Taman Seri Serdang,(24302)SMK Dato Haji Ahmad Badawi,(25163)Taman Bertam Ria,(25753)Hospital Kepala Batas,(26165)IPD Seberang Prai Utara,(26612)Pejabat Tanah Kepala Batas,(27522)Kompleks Dato Kailan
(1)The Summit,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(832)Plaza Utama,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40
(2590)SM Islam Al-Masriyah,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40
(2840)Petronas Tanah Liat,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40
(3242)Masjid Tanah Liat,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40
(3344)Kolej Komuniti Bkt Mertajam,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40
(3644)Taman Guru,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40
(3942)SK Tanah Liat,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40
(4270)Permatang Tok Elong,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(4739)Kampung Sungai Semambu,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
