,(1)Kompleks Dato Kailan,(1301)Taman Bertam Ria,(2066)Pejabat Tanah Kepala Batas,(2517)IPD Seberang Prai Utara,(2921)Hospital Kepala Batas,(3637)Taman Bertam Ria,(4357)SMK Dato Haji Ahmad Badawi,(4664)Taman Seri Serdang,(4980)Taman Seri Indah,(5524)JPS Pokok Sena,(6267)Kolej Matrikulasi Kepala Batas,(6983)Masjid Pongsu Seribu,(7404)Taman Orkid Permai,(7915)Taman Koskam,(8847)SMKA Al Irshad,(9094)Taman Sena Jaya,(9527)Pokok Sena,(10024)Taman Pokok Sena Indah,(10528)Lubuk Meriam,(11172)Simpang Lahar Yooi,(11348)SK Lahar Yooi,(11588)Nyior Sebatang,(12534)Masjid Nyior Sebatang,(13281)Taman Merbau Jaya,(13506)Taman Seri Merbau,(13961)Taman Merbau Indah,(14696)SK Sungai Dua,(15067)Taman Seri Murni,(15422)Taman Pengkalan Machang,(15610)Klinik Kesihatan,(15809)Desa Murni,(16219)Pusat Perniagaan Desa Murni,(16420)Taman Desa Murni,(17148)Taman Pasir Indah,(17683)Kampung Kota I,(17963)Kampung Kota II,(18198)SK Agama Permatang Pasir,(18385)Permatang Pasir,(18658)Pejabat Pelajaran,(18919)Klinik Desa ,(19227)Taman Ara Indah,(19651)Giat MARA Permatang Pauh,(20716)Kampung Kepala Bukit,(21282)Masjid Al Muhtadin,(21714)SK Indera Muda,(21975)Kampung Petani,(22654)Pejabat Pos Penanti,(23317)SK Penanti,(23639)Masjid Kubang Semang,(23874)Klinik Kesihatan Kubang Semang,(24266)Shell Kubang Semang,(24744)Sungai Semambu,(24968)Permatang Tok Elong,(25334)SK Tanah Liat,(25674)Taman Guru,(25859)Kolej Komuniti Bkt Mertajam,(26119)Masjid Tanah Liat,(26417)Petronas,(27773)The Summit
(1)Kompleks Dato Kailan,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(1301)Taman Bertam Ria,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(2066)Pejabat Tanah Kepala Batas,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40
(2517)IPD Seberang Prai Utara,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40
(2921)Hospital Kepala Batas,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40
(3637)Taman Bertam Ria,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40
(4357)SMK Dato Haji Ahmad Badawi,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40
(4664)Taman Seri Serdang,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(4980)Taman Seri Indah,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(5524)JPS Pokok Sena,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
