,(1)Kompleks Dato Kailan,(1301)Taman Bertam Ria,(1891)Hospital Kepala Batas,(2304)IPD Seberang Prai Utara,(2751)Pejabat Tanah Kepala Batas,(4216)Tesco Kepala Batas,(4454)MPC,(4879)Sunshine Bertam,(5067)Sunshine Bertam II,(5536)Sunshine Bertam,(5713)Bertam Walk,(6297)Kiosk Bertam,(6760)Kayangan,(8075)Masjid Abdullah Fahim,(8517)SMK Sains Kepala Batas,(8978)MRSM Kepala Batas,(9614)Pasaraya Mydin Bertam,(10056)Pusat Penjaja Bandar Putra Bertam,(10631)Bertam Putra 1,(11166)Bertam Putra 2,(11651)Bertam Putra 3,(12565)Kampung Pokok Jenerih,(12824)Kampung Pokok Jenerih I,(13423)Masjid Kubang Menerong,(13960)Taman Seri Menerong,(14308)Taman Perda Indah,(15323)Midtown PERDA,(16637)Taman Sepadu Jaya,(17146)Taman Sepadu,(17715)Klinik Kesihatan Tasek Gelugor,(18062)SK Tasek Gelugor,(18375)Kompleks Tasek Gelugor,(19113)Pejabat Pos Tasek Gelugor,(19422)SK Tasek Gelugor,(19748)Klinik Kesihatan Tasek Gelugor,(20293)Taman Sepadu,(20615)Taman Tasek Gelugor Utama,(20821)Taman Tasek Gelugor Utama II,(21159)Taman Tasek Gelugor Utama III,(21460)Taman Tasek Gelugor Utama IV,(22163)MIdtown PERDA,(23142)Taman Perda Indah,(23582)Taman Sri Menderung,(24036)Masjid Kubang Menderung,(24629)Kampung Pokok Jenerih I,(24932)Kampung Pokok Jenerih,(25752)Bertam Putra 4,(26258)Bertam Putra 3,(26801)Taman Bertam Putra,(27367)Bertam Putra 3,(27801)Pasaraya Mydin Bertam,(28449)MRSM Kepala Batas,(28906)SMK Sains Kepala Batas,(29628)Kolej Jururawat,(30733)Kayangan,(31325)Sunshine Bertam II,(31794)Sunshine Bertam,(31971)Bertam Walk,(32246)MPC,(32518)Tesco Kepala Batas,(34378)IPD Seberang Prai Utara,(34720)Hospital Kepala Batas,(35082)Pejabat Tanah,(35999)Kompleks Dato Kailan
(1)Kompleks Dato Kailan,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
(1301)Taman Bertam Ria,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
(1891)Hospital Kepala Batas,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
(2304)IPD Seberang Prai Utara,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
(2751)Pejabat Tanah Kepala Batas,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
(4216)Tesco Kepala Batas,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,5,5,5,5,5,5,5,5,5,5,5
(4454)MPC,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,5,5,5,5,5,5,5,5,5,5
(4879)Sunshine Bertam,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,5,5,5,5,5,5,5,5,5
(5067)Sunshine Bertam II,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,,5,5,5,5,5,5,5,5
(5536)Sunshine Bertam,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,,5,5,5,5,5,5,5
(5713)Bertam Walk,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,5,,5,5,5,5,5,5
(6297)Kiosk Bertam,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,5,5,5,5,5,5,5,5
(6760)Kayangan,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,5,5,5,5,5,5,5
(8075)Masjid Abdullah Fahim,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,5,5,5,5
(8517)SMK Sains Kepala Batas,,,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5,5,5,5
