,Penang Sentral,Taman Selat,Pejabat Kesihatan SPU,Public Mutual Bagan Luar,Kampung Gajah,SJKC Chung Hwa Pusat,Masjid Kubang Buaya,Taman Riang,Taman Bagan Jermal,Mahkamah Majistret,SK Bagan Jermal,Taman Bagan Ajam,Taman Molek,Tesco Bagan Ajam,Taman Meranti,Masjid Jamek Sungai Puyu,Pekan Sungai Puyu,Taman Seri Pinang,Pekan Maklom,Alor Merah,Masjid Alor Merah,Masjid Sungai Lokan,Petronas Sg. Lokan,Hadapan Stesen Minyak Shell,Sungai Dua,Taman Sungai Dua Utama,Masjid Sungai Dua,Pekan Sungai Dua,SK Sungai Dua,Masjid Al Marbawi,Taman Seri Merbau,Taman Merbau Jaya,Lorong Haji Din,Masjid Nyior Sebatang,Nyior Sebatang,SK Lahar Yooi,Lubuk Meriam,Taman Pokok Sena Indah,Pokok Sena,Taman Desa Sena,Dewan Sri Pokok Macang,Tali Air Pokok Macang,KEMAS Pokok Macang,Kg Air Melintas Besar,Taman Gelugor indah,Permatang Berangan C,Pusat Komersial Tasek Gelugor,SK Tasek Gelugor,Kompleks Tasek Gelugor,Kampung Master,Taman Kemaju,Kampung Besar,Taman Sri Desa,Kampung Selamat I,SK Kg Selamat,SMK Kampung Selamat,Balai Bomba Kampung Selamat,Pusat Serenti Kampung Selamat,Taman Selesa,Taman Lagenda,TAMAN SERAI WANGI,PUSAT PERNIAGAAN PADANG SERAI,PEKAN PADANG SERAI,KLINIK KESIHATAN PS,Stesen Bas Padang Serai
Penang Sentral,0,1.10,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.70,1.70,1.70,1.70,1.80,1.80,1.80,1.90,2.00,2.00,2.00,2.10,2.10,2.20,2.20,2.20,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.60,2.70,2.70,2.70,2.80,2.90,2.90,2.90,3.00,3.00,3.10,3.10,3.20,3.20,3.30,3.40,3.40,3.50,3.50,3.50,3.70,3.70,3.70,3.70,3.70,3.70
Taman Selat,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.10,1.20,1.20,1.20,1.30,1.40,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.70,1.70,1.70,1.80,1.80,1.90,1.90,1.90,2.00,2.10,2.10,2.20,2.20,2.30,2.40,2.50,2.50,2.50,2.50,2.50,2.60,2.60,2.60,2.70,2.70,2.80,2.80,2.90,3.00,3.10,3.10,3.10,3.20,3.20,3.30,3.40,3.50,3.50,3.60,3.60
Pejabat Kesihatan SPU,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.10,1.10,1.20,1.30,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.60,1.70,1.70,1.80,1.80,1.80,1.90,1.90,2.00,2.00,2.10,2.20,2.20,2.30,2.40,2.40,2.40,2.50,2.50,2.50,2.50,2.60,2.60,2.70,2.70,2.80,2.80,2.90,3.00,3.00,3.10,3.10,3.10,3.30,3.30,3.40,3.50,3.50,3.60
Public Mutual Bagan Luar,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.10,1.10,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.60,1.60,1.70,1.80,1.80,1.80,1.90,2.00,2.00,2.10,2.10,2.20,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.50,2.50,2.60,2.70,2.70,2.70,2.90,3.00,3.00,3.00,3.00,3.10,3.20,3.30,3.30,3.40,3.50,3.50
Kampung Gajah,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.10,1.20,1.30,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.60,1.70,1.70,1.70,1.80,1.80,1.90,1.90,2.00,2.10,2.10,2.20,2.30,2.30,2.30,2.40,2.50,2.50,2.50,2.50,2.50,2.60,2.60,2.70,2.70,2.80,2.90,2.90,3.00,3.00,3.00,3.20,3.20,3.30,3.40,3.40,3.50
SJKC Chung Hwa Pusat,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.20,1.20,1.30,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.60,1.70,1.70,1.70,1.80,1.90,1.90,2.00,2.00,2.10,2.20,2.30,2.30,2.30,2.40,2.50,2.50,2.50,2.50,2.50,2.50,2.60,2.70,2.70,2.80,2.90,2.90,2.90,3.00,3.00,3.20,3.20,3.30,3.40,3.40,3.50
Masjid Kubang Buaya,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.20,1.20,1.20,1.30,1.30,1.30,1.30,1.40,1.40,1.40,1.50,1.50,1.50,1.50,1.60,1.70,1.70,1.70,1.80,1.90,1.90,2.00,2.00,2.10,2.20,2.20,2.30,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.60,2.60,2.60,2.70,2.90,2.90,2.90,2.90,3.00,3.10,3.20,3.20,3.30,3.40,3.40
Taman Riang,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,0.90,1.00,1.10,1.20,1.20,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.60,1.70,1.70,1.80,1.80,1.90,2.00,2.00,2.10,2.20,2.20,2.20,2.30,2.40,2.40,2.40,2.50,2.50,2.50,2.50,2.60,2.60,2.70,2.80,2.80,2.90,2.90,2.90,3.10,3.10,3.20,3.30,3.30,3.40
Taman Bagan Jermal,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,0.90,1.10,1.10,1.10,1.20,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.60,1.70,1.80,1.80,1.90,1.90,2.00,2.10,2.10,2.20,2.20,2.30,2.30,2.40,2.40,2.40,2.50,2.50,2.50,2.50,2.50,2.70,2.80,2.80,2.80,2.80,2.90,3.00,3.10,3.10,3.20,3.30,3.30
Mahkamah Majistret,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.10,1.10,1.10,1.20,1.20,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.60,1.70,1.80,1.80,1.90,1.90,2.00,2.10,2.10,2.20,2.20,2.20,2.30,2.30,2.40,2.40,2.40,2.50,2.50,2.50,2.50,2.60,2.80,2.80,2.80,2.80,2.90,3.00,3.10,3.10,3.20,3.30,3.30
