,Stesen Bas Padang Serai,KLINIK KESIHATAN PS,PEKAN PADANG SERAI,BALAI POLIS PS,PUSAT PERNIAGAAN PADANG SERAI,TAMAN MAHSURI,TAMAN LAGENDA,TAMAN SELESA,PUSAT SERENTI KG. SELAMAT,BOMBA KG. SELAMAT,SMK Kg Selamat,Kampung Selamat I,Kampung Selamat II,Kampung Selamat III,Kampung Besar,Taman Bakawali,Kampung Master,Pejabat Pos Tasek Gelugor,SK Tasek Gelugor,Pusat Komersial,Petronas Tasek Gelugor,Taman Gelugor Indah,Kg Air Melintas Besar,Masjid Pokok Macang,KEMAS Pokok Macang,Tali Air Pokok Macang ,Dewan Seri Pokok Macang,Taman Desa Sena,Pejabat Veterinar,Taman Sena Jaya 1,Pokok Sena,Taman Pokok Sena Indah,Lubuk Meriam,Simpang Lahar Yooi,SK Lahar Yooi,Nyior Sebatang,Masjid Nyior Sebatang,Taman Merbau Jaya,Taman Seri Merbau,Taman Merbau Indah,SK Sungai Dua,Taman Seri Murni,Masjid Sungai Dua,Sungai Dua Utama,Taman Sungai Dua,Sungai Dua,Petronas Sg.Lokan,Masjid Sg Lokan,Masjid Alor Merah,Alor Merah,Pekan Maklom,Taman Seri Pinang,Pekan Sg. Puyu,Bengkel Kimpalan Sungai Puyu,Pasar Awam,Tesco Bagan Ajam,Taman Bagan Ajam,SK Bagan Jermal,Jabatan Pertahanan Awam,Taman Riang,Masjid Kubang Buaya,Wisma Peladang,SJKC Chung Hwa Pusat,Dataran Pemuda Merdeka,Jabatan Pertanian,Taman Selat,Maybank Butterworth,Penang Sentral
Stesen Bas Padang Serai,0,0.90,0.90,0.90,0.90,1.00,1.10,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.70,1.70,1.70,1.80,1.80,1.90,1.90,1.90,1.90,2.00,2.00,2.00,2.10,2.20,2.20,2.30,2.30,2.30,2.40,2.50,2.50,2.50,2.50,2.60,2.60,2.60,2.60,2.70,2.80,2.80,2.90,2.90,2.90,2.90,3.00,3.00,3.20,3.20,3.30,3.30,3.30,3.40,3.40,3.50,3.50,3.60,3.60,3.70,3.70,3.70
KLINIK KESIHATAN PS,,0,0.90,0.90,0.90,0.90,1.00,1.20,1.20,1.20,1.20,1.30,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.60,1.70,1.70,1.80,1.80,1.80,1.90,1.90,1.90,2.00,2.00,2.10,2.10,2.20,2.20,2.20,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.50,2.60,2.60,2.60,2.80,2.80,2.80,2.80,2.90,2.90,2.90,2.90,3.10,3.20,3.20,3.30,3.30,3.30,3.40,3.40,3.40,3.50,3.60,3.60,3.70,3.70
PEKAN PADANG SERAI,,,0,0.90,0.90,0.90,1.00,1.10,1.10,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.60,1.70,1.70,1.80,1.80,1.80,1.80,1.90,1.90,1.90,2.00,2.10,2.10,2.20,2.20,2.20,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.50,2.50,2.60,2.70,2.70,2.80,2.80,2.80,2.80,2.90,2.90,3.10,3.10,3.20,3.20,3.20,3.30,3.30,3.40,3.40,3.50,3.50,3.60,3.60,3.60
BALAI POLIS PS,,,,0,0.90,0.90,0.90,1.10,1.10,1.10,1.20,1.20,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.60,1.70,1.70,1.80,1.80,1.80,1.90,1.90,1.90,2.00,2.00,2.10,2.10,2.20,2.20,2.30,2.40,2.40,2.40,2.50,2.50,2.50,2.50,2.50,2.50,2.70,2.70,2.70,2.80,2.80,2.80,2.80,2.90,3.10,3.10,3.10,3.20,3.20,3.30,3.30,3.30,3.40,3.40,3.50,3.50,3.60,3.60
PUSAT PERNIAGAAN PADANG SERAI,,,,,0,0.90,0.90,1.00,1.10,1.10,1.10,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.60,1.70,1.70,1.70,1.70,1.80,1.80,1.90,1.90,2.00,2.00,2.10,2.10,2.10,2.20,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.50,2.60,2.70,2.70,2.70,2.70,2.80,2.80,2.80,3.00,3.00,3.10,3.10,3.20,3.20,3.30,3.30,3.30,3.40,3.40,3.50,3.50,3.60
TAMAN MAHSURI,,,,,,0,0.90,1.00,1.00,1.00,1.10,1.10,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.60,1.70,1.70,1.70,1.80,1.80,1.80,1.90,1.90,2.00,2.00,2.10,2.10,2.20,2.30,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.60,2.60,2.60,2.70,2.70,2.70,2.70,2.80,3.00,3.00,3.00,3.10,3.10,3.20,3.20,3.20,3.30,3.40,3.40,3.40,3.50,3.50
TAMAN LAGENDA,,,,,,,0,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.60,1.70,1.70,1.70,1.80,1.80,1.90,2.00,2.00,2.00,2.10,2.20,2.20,2.20,2.30,2.40,2.40,2.40,2.40,2.50,2.50,2.50,2.60,2.60,2.60,2.60,2.70,2.70,2.90,2.90,2.90,3.00,3.00,3.10,3.10,3.20,3.20,3.30,3.30,3.40,3.40,3.40
TAMAN SELESA,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.60,1.70,1.70,1.80,1.80,1.80,1.90,2.00,2.00,2.10,2.10,2.20,2.20,2.20,2.30,2.30,2.30,2.40,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.70,2.80,2.80,2.80,2.90,2.90,3.00,3.00,3.00,3.10,3.20,3.20,3.20,3.30
PUSAT SERENTI KG. SELAMAT,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.70,1.70,1.80,1.80,1.80,1.90,2.00,2.00,2.10,2.10,2.20,2.20,2.20,2.20,2.30,2.40,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.70,2.70,2.80,2.80,2.90,2.90,3.00,3.00,3.00,3.10,3.10,3.20,3.20,3.30
BOMBA KG. SELAMAT,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.30,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.60,1.70,1.80,1.80,1.80,1.90,2.00,2.00,2.00,2.10,2.20,2.20,2.20,2.20,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.50,2.50,2.70,2.70,2.70,2.80,2.80,2.90,2.90,3.00,3.00,3.10,3.10,3.20,3.20,3.20
SMK Kg Selamat,,,,,,,,,,,0,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.60,1.70,1.70,1.80,1.80,1.90,2.00,2.00,2.00,2.10,2.10,2.20,2.20,2.20,2.20,2.40,2.40,2.40,2.50,2.50,2.50,2.50,2.50,2.70,2.70,2.70,2.80,2.80,2.90,2.90,2.90,3.00,3.00,3.10,3.10,3.20,3.20
Kampung Selamat I,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.20,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.70,1.70,1.80,1.90,1.90,1.90,2.00,2.00,2.10,2.10,2.10,2.10,2.30,2.30,2.30,2.40,2.40,2.40,2.40,2.50,2.60,2.60,2.60,2.70,2.70,2.80,2.80,2.80,2.90,3.00,3.00,3.00,3.10,3.10
Kampung Selamat II,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.10,1.20,1.20,1.30,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.60,1.70,1.80,1.80,1.90,1.90,2.00,2.00,2.00,2.00,2.10,2.20,2.30,2.30,2.30,2.30,2.40,2.40,2.40,2.50,2.50,2.60,2.60,2.70,2.70,2.80,2.80,2.80,2.90,2.90,3.00,3.00,3.10
Kampung Selamat III,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.00,1.10,1.10,1.20,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.70,1.70,1.80,1.80,1.90,1.90,1.90,2.00,2.00,2.00,2.20,2.20,2.20,2.20,2.30,2.30,2.30,2.30,2.50,2.50,2.50,2.60,2.60,2.60,2.70,2.70,2.70,2.80,2.90,2.90,3.00,3.00
Kampung Besar,,,,,,,,,,,,,,,0,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.10,1.20,1.20,1.20,1.20,1.30,1.30,1.30,1.40,1.40,1.40,1.50,1.50,1.50,1.60,1.70,1.70,1.70,1.80,1.90,1.90,1.90,1.90,2.00,2.10,2.10,2.20,2.20,2.20,2.20,2.30,2.30,2.50,2.50,2.50,2.50,2.50,2.60,2.60,2.70,2.70,2.80,2.80,2.90,2.90,2.90
Taman Bakawali,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.10,1.20,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.70,1.70,1.80,1.80,1.80,1.90,1.90,1.90,2.10,2.10,2.10,2.10,2.20,2.20,2.20,2.20,2.40,2.50,2.50,2.50,2.50,2.50,2.60,2.60,2.60,2.70,2.80,2.80,2.90,2.90
Kampung Master,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,1.00,1.00,1.10,1.10,1.10,1.10,1.20,1.20,1.20,1.30,1.40,1.40,1.40,1.40,1.40,1.50,1.60,1.60,1.70,1.70,1.80,1.80,1.80,1.80,1.90,2.00,2.00,2.10,2.10,2.10,2.10,2.20,2.20,2.40,2.40,2.50,2.50,2.50,2.50,2.50,2.60,2.60,2.70,2.70,2.80,2.80,2.80
Pejabat Pos Tasek Gelugor,,,,,,,,,,,,,,,,,,0,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.10,1.10,1.20,1.20,1.30,1.30,1.40,1.40,1.40,1.40,1.50,1.50,1.60,1.60,1.70,1.70,1.70,1.80,1.80,1.90,2.00,2.00,2.00,2.00,2.10,2.10,2.10,2.30,2.30,2.40,2.40,2.50,2.50,2.50,2.50,2.50,2.60,2.60,2.70,2.70,2.80
