,(1)The Summit,(832)Plaza Utama,(1318)Sunway Wellesley,(1874)Kampung Permatang Rawa,(2092)KTM Bukit Mertajam,(2411)Caltex Permatang Rawa,(3087)Perda Timur,(3486)Perda Utama,(4290)KPJ Perda,(4531)Masjid Perda,(4845)Nashmir Perda,(6367)Pangsapuri Seri Pauh,(7192)Petron Permatang Pauh,(7454)Kampung Belah 2,(7895)UITM Permatang Pauh,(8229)Kampung Pertama,(8653)Kampung Batu Dua,(9018)Klinik Desa Kampung Pertama,(9272)SK Tok Kandu,(9810)Permatang Janggus,(10003)Masjid Permatang Janggus,(10306)Permatang Janggus 2,(10601)Kompleks Fareeda,(10905)Taman Arowana Emas,(11197)Taman Arowana,(11503)Pasar Malam Arowana,(12096)PPR Ampang Jajar,(12545)Taman Ampang Jajar,(12946)Kawasan Industri Mak Mandin,(13444)Gold Coin Mak Mandin,(14147)Shell Mak Mandin,(14518)Taman Bagan,(14694)Taman Bagan II,(14896)Taman Bagan III,(15319)Pasaraya Billion,(15601)Pangsapuri Telaga Emas,(16430)Dataran Pemuda Merdeka,(16816)Jabatan Pertanian,(17375)Taman Selat,(17664)Maybank Butterworth,(18607)Penang Sentral
(1)The Summit,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(832)Plaza Utama,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(1318)Sunway Wellesley,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70
(1874)Kampung Permatang Rawa,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70
(2092)KTM Bukit Mertajam,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70
(2411)Caltex Permatang Rawa,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70
(3087)Perda Timur,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70
(3486)Perda Utama,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70
(4290)KPJ Perda,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70
(4531)Masjid Perda,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(4845)Nashmir Perda,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
