,(1)Penang Sentral,(3404)Taman Selat,(4120)Pejabat Kesihatan SPU,(4556)Public Mutual Bagan Luar,(5107)Maktab Wan Jah,(5214)Pangsapuri Telaga Emas,(5521)SJKC Chung Hwa 1,(6126)Taman Cantik,(6307)Taman Bagan ,(6748)Shell Mak Mandin,(7490)Kawasan Industri Mak Mandin,(7871)Taman Ampang Jajar,(8167)PPR Ampang Jajar,(8726)Taman Bandar Ampang Jajar,(9269)Pasar Malam Arowana,(9560)Taman Arowana,(10253)Kompleks Fareeda,(10455)Permatang Janggus,(10754)Masjid Permatang Janggus,(11039)Permatang Janggus 2,(11657)Shell Permatang To' Kandu,(11844)Klinik Desa Kampung Pertama,(12070)Kampung Pertama Baru,(12237)Masjid Papan,(12771)UITM,(13066)Pusat Komersial Permatang Pauh,(13708)Taman Pauh Indah,(14030)Politeknik Seberang Perai,(14372)SIRIM,(15076)Astaka Perda,(15377)Masjid Perda,(15794)Pejabat MPSP,(16344)Perda Timur,(16858)Perda Utama,(17425)Pusat Perniagaan Permatang Rawa,(17647)SMK Permatang Rawa,(17949)Petronas Permatang Rawa,(18297)Permatang Rawa,(18853)Sunway Wellesley,(19178)PBA Bukit Mertajam,(19589)The Summit
(1)Penang Sentral,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(3404)Taman Selat,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70
(4120)Pejabat Kesihatan SPU,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70
(4556)Public Mutual Bagan Luar,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(5107)Maktab Wan Jah,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(5214)Pangsapuri Telaga Emas,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(5521)SJKC Chung Hwa 1,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(6126)Taman Cantik,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(6307)Taman Bagan ,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(6748)Shell Mak Mandin,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
