,(1)Penang Sentral,(3160)SMK Convent Butterworth,(3563)Taman Mewah,(4142)Stor TNB,(4507)Pusat Perniagaan Chain Ferry,(4848)Pusat Perniagaan Chain Ferry II,(6532)Taman Chai Leng I,(6797)Taman Chai Leng II,(7457)Taman Chai Leng,(7847)Kompleks Chai Leng Park,(8206)GEM Megamall,(8758)Megamall - Pacific,(10920)Masjid Seberang Jaya,(11390)Pangsapuri B3,(11649)Pangsapuri A1,(11948)Pangsapuri RPKN,(12149)Pangsapuri D18,(12757)Kastam Seberang Jaya,(13096)Pasar Seberang Jaya,(13837)Sunway Carnival Mall,(14348)Prudential,(14808)Pasar Seberang Jaya,(18680)Taman Sembilang,(19015)Dewan JKKK,(19619)Tesco Extra
(1)Penang Sentral,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(3160)SMK Convent Butterworth,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(3563)Taman Mewah,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(4142)Stor TNB,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(4507)Pusat Perniagaan Chain Ferry,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00
(4848)Pusat Perniagaan Chain Ferry II,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00
(6532)Taman Chai Leng I,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00
(6797)Taman Chai Leng II,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00
(7457)Taman Chai Leng,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00
(7847)Kompleks Chai Leng Park,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00
(8206)GEM Megamall,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00
(8758)Megamall - Pacific,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00
(10920)Masjid Seberang Jaya,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(11390)Pangsapuri B3,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(11649)Pangsapuri A1,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(11948)Pangsapuri RPKN,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(12149)Pangsapuri D18,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(12757)Kastam Seberang Jaya,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(13096)Pasar Seberang Jaya,,,,,,,,,,,,,,,,,,,,1.40,1.40,,1.40,1.40,1.40
(13837)Sunway Carnival Mall,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40
(14348)Prudential,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40
(14808)Pasar Seberang Jaya,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40
(18680)Taman Sembilang,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40
(19015)Dewan JKKK,,,,,,,,,,,,,,,,,,,,,,,,,1.40
(19619)Tesco Extra,,,,,,,,,,,,,,,,,,,,,,,,,
