,(1)Penang Sentral,(6231)Kompleks Chai Leng Park,(7142)Megamall - Pacific,(11746)Kilang Trane,(12294)Kilang LB Aluminium,(12679)Kastam Perai,(14450)Kilang Punch,(14526)Pusat Komersial Nagasari,(14692)Klinik Bersatu,(15049)Padang Permainan Taman Nagasari,(15321)Lorong Nagasari23,(15547)Pangsapuri Nagasari Blok B,(15883)Padang Permainan Taman Nagasari,(16239)Klinik Bersatu,(16459)Warung Bonda,(17548)Petron Kawasan Perusahaan Perai,(20212)Nashmir Car Park,(20434)Medan Selera Seri Pelangi,(21046)Pangsapuri Taman Pelangi,(21320)Asrama Mattel,(21568)Medan Selera Taman Pelangi,(21790)Nashmir Car Park,(22939)Hub Taman Juru Setia
(1)Penang Sentral,,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(6231)Kompleks Chai Leng Park,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70
(7142)Megamall - Pacific,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(11746)Kilang Trane,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00
(12294)Kilang LB Aluminium,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(12679)Kastam Perai,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(14450)Kilang Punch,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(14526)Pusat Komersial Nagasari,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(14692)Klinik Bersatu,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(15049)Padang Permainan Taman Nagasari,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(15321)Lorong Nagasari23,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(15547)Pangsapuri Nagasari Blok B,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(15883)Padang Permainan Taman Nagasari,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(16239)Klinik Bersatu,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(16459)Warung Bonda,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(17548)Petron Kawasan Perusahaan Perai,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(20212)Nashmir Car Park,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40
(20434)Medan Selera Seri Pelangi,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40
(21046)Pangsapuri Taman Pelangi,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40
(21320)Asrama Mattel,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40
(21568)Medan Selera Taman Pelangi,,,,,,,,,,,,,,,,,,,,,,1.40,1.40
(21790)Nashmir Car Park,,,,,,,,,,,,,,,,,,,,,,,1.40
(22939)Hub Taman Juru Setia,,,,,,,,,,,,,,,,,,,,,,,
