,(1)Hub Taman Juru Setia,(1122)Nashmir Car Park,(1345)Medan Selera Seri Pelangi,(1609)Kilang Xylem,(1889)Pangsapuri Taman Pelangi,(3811)Kilang FMS,(4680)Kilang Punch,(4755)Pusat Komersial Nagasari,(4922)Klinik Bersatu,(5279)Padang Permainan Taman Nagasari,(5550)Lorong Nagasari23,(5777)Pangsapuri Nagasari Blok B,(6113)Padang Permainan Taman Nagasari,(6469)Klinik Bersatu,(6689)Warung Bonda,(7778)Petron Kawasan Perusahaan Perai,(8360)Kilang Flextronix,(9388)Hadapan SMPC,(10209)Kilang LB Aluminium,(10594)Kastam Perai,(14124)Megamall - Pacific,(14776)Kuil Sri Muniswara,(15060)Padang Kilat,(19045)Penang Sentral
(1)Hub Taman Juru Setia,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.70,2.70,2.70
(1122)Nashmir Car Park,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.70
(1345)Medan Selera Seri Pelangi,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.70
(1609)Kilang Xylem,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.70
(1889)Pangsapuri Taman Pelangi,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.70
(3811)Kilang FMS,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.70
(4680)Kilang Punch,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.70
(4755)Pusat Komersial Nagasari,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.70
(4922)Klinik Bersatu,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00
(5279)Padang Permainan Taman Nagasari,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00
(5550)Lorong Nagasari23,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00
(5777)Pangsapuri Nagasari Blok B,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(6113)Padang Permainan Taman Nagasari,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(6469)Klinik Bersatu,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(6689)Warung Bonda,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(7778)Petron Kawasan Perusahaan Perai,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(8360)Kilang Flextronix,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(9388)Hadapan SMPC,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,2.00
(10209)Kilang LB Aluminium,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40
(10594)Kastam Perai,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40
(14124)Megamall - Pacific,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40
(14776)Kuil Sri Muniswara,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40
(15060)Padang Kilat,,,,,,,,,,,,,,,,,,,,,,,,1.40
(19045)Penang Sentral,,,,,,,,,,,,,,,,,,,,,,,,
