,(1)The Summit,(1287)Masjid Sungai Rambai,(1672)Padang Lalang,(1840)Masjid Padang Lalang,(2046)Pusat Perniagaan Padang Lalang,(2331)Sungai Rambai,(2857)Taman Cempedak,(3606)Desa Wawasan,(4043)Pejabat MPSP,(5240)Taman Lembah Permai,(5856)Taman Kota Permai,(6379)Taman Kota Permai II,(7403)Masjid Tok Lebai Hashim,(8110)Klinik Kesihatan Bukit Minyak,(8338)Taman Pulasan Bukit Minyak,(9234)Pusat Perniagaan Juru,(9748)Klinik Desa Juru,(10089)Taman Pinang,(10824)Taman Perindustrian Beringin,(11289)Taman Perusahaan Ringan Juru,(12112)Petronas Tok Kangar,(13283)Perodua Juru,(14932)Pangsapuri Taman Pelangi,(15206)Asrama Mattel,(15454)Medan Selera Taman Pelangi,(15675)Nashmir Car Park,(16824)Hub Taman Juru Setia
(1)The Summit,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70
(1287)Masjid Sungai Rambai,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70
(1672)Padang Lalang,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70
(1840)Masjid Padang Lalang,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70
(2046)Pusat Perniagaan Padang Lalang,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70
(2331)Sungai Rambai,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70
(2857)Taman Cempedak,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(3606)Desa Wawasan,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(4043)Pejabat MPSP,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(5240)Taman Lembah Permai,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00
(5856)Taman Kota Permai,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00
(6379)Taman Kota Permai II,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00
(7403)Masjid Tok Lebai Hashim,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00
(8110)Klinik Kesihatan Bukit Minyak,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00
(8338)Taman Pulasan Bukit Minyak,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00
(9234)Pusat Perniagaan Juru,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(9748)Klinik Desa Juru,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00
(10089)Taman Pinang,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(10824)Taman Perindustrian Beringin,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(11289)Taman Perusahaan Ringan Juru,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40
(12112)Petronas Tok Kangar,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40
(13283)Perodua Juru,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40
(14932)Pangsapuri Taman Pelangi,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40,1.40
(15206)Asrama Mattel,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40,1.40
(15454)Medan Selera Taman Pelangi,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.40
(15675)Nashmir Car Park,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40
(16824)Hub Taman Juru Setia,,,,,,,,,,,,,,,,,,,,,,,,,,,
