,(1)Hub Taman Juru Setia,(2005)Pangsapuri Taman Pelangi,(2279)Asrama Mattel,(2527)Medan Selera Taman Pelangi,(2749)Nashmir Car Park,(4765)Pusat Perniagaan Juru Evenue,(5224)Taman Sri Delima,(5828)Taman Perusahaan Ringan Juru,(6082)Pusat Perniagaan Juru,(6356)Surau An Nur Juru,(7059)Taman Sentul,(7929)Pusat Perniagaan Taman Juru,(8504)Pusat Perniagaan Juru Jaya,(8955)Klinik Kesihatan Bukit Minyak,(9605)Masjid Tok Lebai Hashim,(10682)Taman Kota Permai II,(11140)Taman Kota Permai,(11664)Taman Lembah Permai,(12784)Makhamah Bukit Mertajam,(13204)Kompleks Sukan & Rekreasi MPSP,(13396)Desa Wawasan,(13643)Pusat Perniagaan Desa Wawasan,(14586)Sri Rambai,(14947)Taman Desa Damai,(14993)Pusat Borong Fama,(15230)Pusat Perniagaan Padang Lalang,(15647)Kampung Padang Lalang,(15746)KTM BM,(16386)Masjid Sungai Rambai,(17122)Kamdar,(17288)Plaza Utama,(17788)PBA Bukit Mertajam,(18200)The Summit
(1)Hub Taman Juru Setia,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
(2005)Pangsapuri Taman Pelangi,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70
(2279)Asrama Mattel,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70
(2527)Medan Selera Taman Pelangi,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70
(2749)Nashmir Car Park,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70
(4765)Pusat Perniagaan Juru Evenue,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(5224)Taman Sri Delima,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(5828)Taman Perusahaan Ringan Juru,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(6082)Pusat Perniagaan Juru,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
(6356)Surau An Nur Juru,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
