,(1)The Summit,(683)SM Persendirian Jit Sin,(957)Taman Usahaniaga,(1434)JPA Bukit Mertajam,(2069)Taman Kuari,(2276)Taman Jaya,(2536)Taman Sentosa,(2965)Taman Tampoi Indah,(3405)B Garden,(3804)AADK Bukit Mertajam,(4160)SM Sains Tun Syed Sheh Shahabudin,(4592)Taman Alma,(5502)SK Alma,(6010)SJKC Sin Ya,(6480)Taman Selesa,(6723)Taman Sri Alma,(6928)Pasar Awam Taman Selamat,(7322)Kilang Ayamas,(7838)Jessel Ball Sport Center,(8413)AEON Gate 5,(8602)Masjid Jamek Alma Jaya,(9189)AEON Pintu Utama,(9666)Tesco Alma,(10160)Taman Seri Impian,(11878)SRJK Permatang Tinggi,(12536)Taman Permatang Tinggi Indah,(13174)Pusat Perniagan Simpang Empat,(13867)Masjid Simpang Empat,(14960)Pusat Perniagaan Tasek Mutiara,(15666)Pearl City Mall,(16096)Taman Mutiara Simpang Empat,(16704)Petronas Bandar Tasek Mutiara,(17183)Taman Tasek,(17578)Taman Puteri Gunung,(18199)Taman Tasek Indah,(19187)Kampung Hj. Abdullah,(19671)Muda Paper Mill,(19950)SK Seri Tasek,(20794)Kampung Sepulau,(21562)Kampung Tasek Junjung,(22230)Pekan Junjung,(23275)SK. Permatang Tiong,(23982)Hub Jalan Air Puteh
(1)The Summit,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.70,1.70,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.50,2.50,2.50,2.50,2.50,2.50,2.80,2.80,2.80,2.80,2.80,2.80
(683)SM Persendirian Jit Sin,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.70,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.50,2.50,2.50,2.50,2.50,2.50,2.80,2.80,2.80,2.80,2.80
(957)Taman Usahaniaga,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.70,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.50,2.50,2.50,2.50,2.50,2.50,2.80,2.80,2.80,2.80,2.80
(1434)JPA Bukit Mertajam,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.50,2.50,2.50,2.50,2.50,2.50,2.80,2.80,2.80,2.80
(2069)Taman Kuari,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.70,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.50,2.50,2.50,2.50,2.50,2.50,2.80,2.80,2.80
(2276)Taman Jaya,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.70,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.50,2.50,2.50,2.50,2.50,2.80,2.80,2.80
(2536)Taman Sentosa,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.70,1.70,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.50,2.50,2.50,2.50,2.50,2.80,2.80,2.80
(2965)Taman Tampoi Indah,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.70,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.50,2.50,2.50,2.50,2.50,2.50,2.80,2.80
(3405)B Garden,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.70,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.50,2.50,2.50,2.50,2.50,2.80,2.80
(3804)AADK Bukit Mertajam,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.70,1.70,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.50,2.50,2.50,2.50,2.50,2.80
