,(1)Hub Jalan Air Puteh,(1806)Pekan Junjung,(2131)Pejabat Koperasi Tasek Junjung,(2584)Masjid Jamek Tasik Junjung,(3225)Kampung Sepulau,(4069)SK Seri Tasek,(4322)Muda Paper I,(4436)Muda Paper II,(4646)Muda Paper III,(5089)Gerai Tasek,(5307)Kampung Padang,(5539)Masjid Padang Lalang,(5871)Taman Tasek Indah,(6270)Taman Puteri Gunung,(6692)Taman Tasek Harmoni,(7160)Taman Tasek,(7567)Bandar Tasek Mutiara,(8253)Pearl City Mall,(9169)Bandar Tasek Mutiara,(10305)Balai Polis Simpang Empat,(10634)Kg. Baru Simpang Empat,(11148)Pusat Perniagaan Simpang Empat,(11630)Taman Permatang Tinggi Indah,(11858)Taman Perwira,(12153)SRJK Permatang Tinggi,(13763)Taman Impian Ria,(14072)Taman Industri Impian,(14516)TESCO Alma,(14889)AEON Pintu Utama,(15126)Taman Sri Kijang,(15533)Masjid Jamek Alma Jaya,(15811)Taman Seri Impian,(16300)Jessel Ball Sport Center,(16813)Kilang Ayamas,(17202)Taman Nirwana,(17410)Taman Alma Jaya,(17648)Taman Selesa,(18158)SJKC Sin Ya,(20439)Jalan Damai,(20893)SMK Jalan Damai,(21602)Taman Alma Perpaduan,(21768)Pasar Awam Kampung Baru,(22179)SK Kampung Baru I,(22266)SK Kampung Baru II,(22996)Sentosa Residence,(23496)SJK(C) Kim Sen,(23922)SK Convent Bukit Mertajam,(24546)SJK(C) Jit Sin,(25495)The Summit
(1)Hub Jalan Air Puteh,,1,1,1,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
(1806)Pekan Junjung,,,1,1,1,1,1,1,1,1,1,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.7,1.7,1.7,2,2,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,2.5,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
(2131)Pejabat Koperasi Tasek Junjung,,,,1,1,1,1,1,1,1,1,1,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.7,1.7,1.7,2,2,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.8,2.8,2.8,2.8,2.8,2.8,2.8
(2584)Masjid Jamek Tasik Junjung,,,,,1,1,1,1,1,1,1,1,1,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.7,1.7,2,2,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.8,2.8,2.8,2.8,2.8,2.8
(3225)Kampung Sepulau,,,,,,1,1,1,1,1,1,1,1,1,1,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.8,2.8,2.8,2.8,2.8
(4069)SK Seri Tasek,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.7,1.7,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.8,2.8,2.8
(4322)Muda Paper I,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.7,1.7,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.8,2.8
(4436)Muda Paper II,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.7,1.7,1.7,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.8,2.8
(4646)Muda Paper III,,,,,,,,,,1,1,1,1,1,1,1,1,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.7,1.7,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.8,2.8
(5089)Gerai Tasek,,,,,,,,,,,1,1,1,1,1,1,1,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.7,1.7,1.7,2,2,2,2,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.8
