,(1)Penang Sentral,(3160)SMK Convent Butterworth,(3563)Taman Mewah,(4142)Stor TNB,(4507)Pusat Perniagaan Chain Ferry,(4848)Pusat Perniagaan Chain Ferry II,(6532)Taman Chai Leng I,(6797)Taman Chai Leng II,(7457)Taman Chai Leng,(7847)Kompleks Chai Leng Park,(8758)Megamall - Pacific,(10891)Masjid Jamek Kampung Setol,(11208)Medan Perniagaan Pauh Jaya,(11577)Mydin Mall,(11768)Kampung Jalan Baru,(12056)Masjid Jalan Baru,(13700)Taman Indah,(14109)Masjid Balik Bukit,(14431)Taman Tanah Aman,(14875)Petronas Bukit Tengah,(15258)Balai Polis Bukit Tengah,(16097)Kilang Leader Steel,(16666)DB Schenker,(17616)Petron Bukit Minyak,(18037)Klinik Kesihatan Bukit Minyak,(18265)Taman Pulasan Bukit Minyak,(18873)Leeden Hercules,(19477)Kampung Permatang Tok Subuh,(20019)Taman Markisah,(20451)Taman Sukun Indah,(20845)Taman Sukun,(21470)Taman Industri Ringan,(21781)Essex,(22517)SRJK Permatang Tinggi,(23175)Taman Permatang Tinggi Indah,(23808)Shell Simpang Empat,(24506)Masjid Simpang Empat,(24923)SMK Simpang Empat,(25292)Taman Tiong Mas,(25745)Taman Tempua,(25999)Taman Belibis,(26158)Taman Tangling,(26572)Menara Kerjaya Simpang Empat,(26972)Balai Bomba Sungai Bakap,(27572)Kilang Silitech,(28324)Premium Outlet,(29078)SJK Tamil Valdor,(29718)Taman Rebana,(30479)Lean Teik Trading,(30913)Taman Sri Aman,(31261)Taman Gamelan,(32015)Taman Jelatik,(32404)Masjid Lama Sungai Bakap,(32680)Hospital Sungai Bakap,(32959)Kinik Kesihatan Sungai Bakap,(33501)Perkampungan Jawi,(34020)JKR Jawi,(34929)Taman Jawi Jaya,(35317)SK Jawi,(35851)Taman Jawi Ria,(36856)Taman Sintar,(37417)Teck Land Motors,(37847)Balai Polis Lama Bukit Panchor,(39387)Hub Nibong Tebal
(1)Penang Sentral,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(3160)SMK Convent Butterworth,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(3563)Taman Mewah,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(4142)Stor TNB,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(4507)Pusat Perniagaan Chain Ferry,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(4848)Pusat Perniagaan Chain Ferry II,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(6532)Taman Chai Leng I,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(6797)Taman Chai Leng II,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(7457)Taman Chai Leng,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(7847)Kompleks Chai Leng Park,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
