,(1)Hub Nibong Tebal,(4245)SMK Sungai Acheh,(5296)Masjid Al Fatah,(5886)Sungai Setar,(6846)Dewan Masyarakat Sg.Acheh,(7273)SK Sungai Setar,(8089)Caltex Sungai Acheh,(8469)Pekan Sg.Acheh,(8644)Masjid Sungai Acheh,(8866)Klinik Kesihatan Sg.Acheh,(9392)Lorong Haji Hashim,(10129)Jalan Kuala Sungai Udang,(10699)Kuala Sg.Udang II,(11839)Kuala Sg.Udang III,(12409)Perpustakaan Desa Batas Ban,(12923)Lorong Chenaam 1,(13344)Peladang Chenaam,(13636)Kampung Chenaam II,(14199)Kampung Chenaam III,(14517)Dewan JKKK Sg.Chenaam,(15644)Perpustakaan Desa Batas Ban,(16264)Terusan Air itam,(16896)Sungai Air Itam,(17662)Surau Nurul Hakim,(20071)Pekan Sg.Bakau,(21012)Kampung Sungai Tongkang,(21542)Kampung Sungai Air Itam,(22605)Pekan Sungai Acheh,(22827)Medan Niaga,(23156)Caltex Sungai Acheh,(23923)SMK Sungai Setar,(24053)SMK Sungai Setar 2,(24417)Surau Al Furqan,(25979)Masjid Al Fatah,(26996)SMK Sungai Acheh,(31425)Hub Nibong Tebal
(1)Hub Nibong Tebal,,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.7
(4245)SMK Sungai Acheh,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(5296)Masjid Al Fatah,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(5886)Sungai Setar,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(6846)Dewan Masyarakat Sg.Acheh,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(7273)SK Sungai Setar,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(8089)Caltex Sungai Acheh,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(8469)Pekan Sg.Acheh,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(8644)Masjid Sungai Acheh,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(8866)Klinik Kesihatan Sg.Acheh,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
