,(0)Terminal UTC Ukir Square,(269)Stesen KTM,(1025)Pusat Bandar,(1655)Terminal Jalan Petri,(2606)Central Square,(3378)Num Hung Tobacco,(3863)Pejabat Pos Bakar Arang,(4405)SMK Che Tom,(4792)Tesco Bakar Arang,(5223)Peladang Sg.Petani,(42592)Penang Sentral
(0)Terminal UTC Ukir Square,,0.90,0.90,0.90,1.00,1.10,1.10,1.20,1.20,1.30,4.00
(269)Stesen KTM,,,0.90,0.90,1.00,1.10,1.10,1.20,1.20,1.20,4.00
(1025)Pusat Bandar,,,,0.90,0.90,1.00,1.00,1.10,1.10,1.20,4.00
(1655)Terminal Jalan Petri,,,,,0.90,0.90,1.00,1.00,1.10,1.10,4.00
(2606)Central Square,,,,,,0.90,0.90,0.90,1.00,1.00,4.00
(3378)Num Hung Tobacco,,,,,,,0.90,0.90,0.90,0.90,4.00
(3863)Pejabat Pos Bakar Arang,,,,,,,,0.90,0.90,0.90,4.00
(4405)SMK Che Tom,,,,,,,,,0.90,0.90,4.00
(4792)Tesco Bakar Arang,,,,,,,,,,0.90,4.00
(5223)Peladang Sg.Petani,,,,,,,,,,,4.00
(42592)Penang Sentral,,,,,,,,,,,
