,(1)Penang Sentral,(6184)Kompleks Chai Leng Park,(6543)GEM Megamall,(34580)Taman Sintar,(35140)Teck Land Motors,(35570)Balai Polis Lama Bukit Panchor,(36921)SMK Tungku Abdul Rahman,(37432)Taman Belatuk,(37772)Klinik Kesihatan,(37997)Kolej Vokasional,(38893)Taman Ilmu Indah,(40397)Taman Ilmu,(40924)SK Saujana Indah,(41620)MRSM Transkerian,(43115)Petronas Nibong Tebal,(44111)Kampung Dato Keramat,(44487)Taman Fajar,(44861)Taman Seri Acheh,(45079)Taman Suria,(45985)Jalan Besar,(47159)Taman Harapan Baru,(48067)Pasaraya Mydin,(48905)Taman Seri Semarak,(49626)Hentian Raya Parit Buntar
(1)Penang Sentral,,1.4,1.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
(6184)Kompleks Chai Leng Park,,,0.9,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4,4
(6543)GEM Megamall,,,,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,4,4,4
(34580)Taman Sintar,,,,,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2
(35140)Teck Land Motors,,,,,,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2
(35570)Balai Polis Lama Bukit Panchor,,,,,,,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2
(36921)SMK Tungku Abdul Rahman,,,,,,,,0.9,0.9,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2
(37432)Taman Belatuk,,,,,,,,,0.9,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2
(37772)Klinik Kesihatan,,,,,,,,,,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2
(37997)Kolej Vokasional,,,,,,,,,,,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2
(38893)Taman Ilmu Indah,,,,,,,,,,,,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2
(40397)Taman Ilmu,,,,,,,,,,,,,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2
(40924)SK Saujana Indah,,,,,,,,,,,,,,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2
(41620)MRSM Transkerian,,,,,,,,,,,,,,,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2
(43115)Petronas Nibong Tebal,,,,,,,,,,,,,,,,0.9,0.9,0.9,0.9,1.4,1.4,1.4,1.4,1.4
(44111)Kampung Dato Keramat,,,,,,,,,,,,,,,,,0.9,0.9,0.9,0.9,1.4,1.4,1.4,1.4
(44487)Taman Fajar,,,,,,,,,,,,,,,,,,0.9,0.9,0.9,1.4,1.4,1.4,1.4
(44861)Taman Seri Acheh,,,,,,,,,,,,,,,,,,,0.9,0.9,1.4,1.4,1.4,1.4
(45079)Taman Suria,,,,,,,,,,,,,,,,,,,,0.9,1.4,1.4,1.4,1.4
(45985)Jalan Besar,,,,,,,,,,,,,,,,,,,,,0.9,1.4,1.4,1.4
(47159)Taman Harapan Baru,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,1.4
(48067)Pasaraya Mydin,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9
(48905)Taman Seri Semarak,,,,,,,,,,,,,,,,,,,,,,,,0.9
(49626)Hentian Raya Parit Buntar,,,,,,,,,,,,,,,,,,,,,,,,
