,(1)Hentian Raya Parit Buntar,(821)Taman Seri Semarak,(1685)Mydin Mall,(2525)Taman Harapan Baru,(3284)Jalan Besar,(4863)Taman Seri Acheh,(5587)Jalan Besar 2,(6642)Kampung Haji Osman,(8003)MRSM Transkerian,(8780)SK Saujana Indah,(9324)Taman Ilmu,(10822)Taman Ilmu Indah,(11628)Kolej Vokasional,(11874)Klinik Kesihatan,(12125)Taman Seri Permai,(12371)Taman Seri Saujana,(12541)Kompleks Kediaman Kerajaan,(12595)SMK Tungku Abdul Rahman,(14065)Pasaraya C-MART,(14549)Super-Rider Motor Sdn Bhd,(15018)Residensi Merbok,(42408)Kuil Sri Muniswara,(42692)Padang Kilat,(46724)Penang Sentral
(1)Hentian Raya Parit Buntar,,0.9,0.9,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,2,3.4,3.4,4
(821)Taman Seri Semarak,,,0.9,0.9,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,2,2,3.4,3.4,4
(1685)Mydin Mall,,,,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,3.4,3.4,4
(2525)Taman Harapan Baru,,,,,0.9,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,2,3.4,3.4,4
(3284)Jalan Besar,,,,,,0.9,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,2,2,2,2,3.4,3.4,4
(4863)Taman Seri Acheh,,,,,,,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,2,2,3.4,3.4,3.4
(5587)Jalan Besar 2,,,,,,,,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,2,3.4,3.4,3.4
(6642)Kampung Haji Osman,,,,,,,,,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,2,3.4,3.4,3.4
(8003)MRSM Transkerian,,,,,,,,,,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,3.4,3.4,3.4
(8780)SK Saujana Indah,,,,,,,,,,,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,3.4,3.4,3.4
(9324)Taman Ilmu,,,,,,,,,,,,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,3.4,3.4,3.4
(10822)Taman Ilmu Indah,,,,,,,,,,,,,0.9,0.9,0.9,0.9,0.9,0.9,1.4,1.4,1.4,3.4,3.4,3.4
(11628)Kolej Vokasional,,,,,,,,,,,,,,0.9,0.9,0.9,0.9,0.9,1.4,1.4,1.4,3.4,3.4,3.4
(11874)Klinik Kesihatan,,,,,,,,,,,,,,,0.9,0.9,0.9,0.9,1.4,1.4,1.4,3.4,3.4,3.4
(12125)Taman Seri Permai,,,,,,,,,,,,,,,,0.9,0.9,0.9,0.9,1.4,1.4,3.4,3.4,3.4
(12371)Taman Seri Saujana,,,,,,,,,,,,,,,,,0.9,0.9,0.9,1.4,1.4,3.4,3.4,3.4
(12541)Kompleks Kediaman Kerajaan,,,,,,,,,,,,,,,,,,0.9,0.9,1.4,1.4,3.4,3.4,3.4
(12595)SMK Tungku Abdul Rahman,,,,,,,,,,,,,,,,,,,0.9,0.9,1.4,3.4,3.4,3.4
(14065)Pasaraya C-MART,,,,,,,,,,,,,,,,,,,,0.9,0.9,3.4,3.4,3.4
(14549)Super-Rider Motor Sdn Bhd,,,,,,,,,,,,,,,,,,,,,0.9,3.4,3.4,3.4
(15018)Residensi Merbok,,,,,,,,,,,,,,,,,,,,,,3.4,3.4,3.4
(42408)Kuil Sri Muniswara,,,,,,,,,,,,,,,,,,,,,,,0.9,1.4
(42692)Padang Kilat,,,,,,,,,,,,,,,,,,,,,,,,1.4
(46724)Penang Sentral,,,,,,,,,,,,,,,,,,,,,,,,
