,(1)Hub Padang Kawad,(152)Padang Kawad,(712)Desasiswa Indah Kembara,(1120)Jabatan Keselamatan,(1471)Stor Pusat Kimia Universiti,(1584)Desasiswa Bakti Fajar Permai Petas,(1869)Pusat Sejahtera,(2094)Kompleks Dewan Kuliah C23,(2319)Dewan Budaya,(2574)Kompleks Eureka,(2893)Desasiswa Harapan,(3105)Hadapan INFORMM,(3310)Desasiswa Aman Damai,(4287)Taman Pekaka,(5101)SRJK Keong Hoe,(5446)Lip Sin,(5696)Lip Sin 2,(6294)Pangsapuri Golf View,(6566)Hotel Vistana,(6871)Taman Bukit Jambul,(7321)Kompleks Bukit Jambul,(8297)Krystal Point Corporate Park,(10106)Queensbay Mall,(10739)Bay Garden,(11533)Taman Pantai Jerejak,(11966)Terminal Ekspress Sg Nibong,(12242)SJKC Phor Tay,(12611)SRJK Keong Hoe,(13217)Tesco Sungai Dua,(13391)Apartmen Desa Universiti,(13709)USM,(14238)Desasiswa Harapan,(14450)Hadapan INFORMM,(14656)Desasiswa Aman Damai,(15050)Hub Padang Kawad
(1)Hub Padang Kawad,,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.7,1.7,1.8,1.8,1.9,1.9,2,2,2,2.1,2.1,2.1,2.1
(152)Padang Kawad,,,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.7,1.8,1.8,1.9,1.9,2,2,2,2.1,2.1,2.1,2.1
(712)Desasiswa Indah Kembara,,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.8,1.8,1.8,1.9,1.9,1.9,2,2,2,2.1
(1120)Jabatan Keselamatan,,,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.8,1.9,1.9,1.9,2,2,2,2
(1471)Stor Pusat Kimia Universiti,,,,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9,1.9,2,2
(1584)Desasiswa Bakti Fajar Permai Petas,,,,,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.9,1.9,1.9,2,2
(1869)Pusat Sejahtera,,,,,,,,0.9,0.9,0.9,0.9,0.9,0.9,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9,1.9,2
(2094)Kompleks Dewan Kuliah C23,,,,,,,,,0.9,0.9,0.9,0.9,0.9,1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.9,1.9,1.9,1.9
(2319)Dewan Budaya,,,,,,,,,,0.9,0.9,0.9,0.9,0.9,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.9,1.9,1.9
(2574)Kompleks Eureka,,,,,,,,,,,0.9,0.9,0.9,0.9,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9
(2893)Desasiswa Harapan,,,,,,,,,,,,0.9,0.9,0.9,1,1,1,1.1,1.1,1.1,1.2,1.3,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9
(3105)Hadapan INFORMM,,,,,,,,,,,,,0.9,0.9,0.9,1,1,1.1,1.1,1.1,1.2,1.3,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.8
(3310)Desasiswa Aman Damai,,,,,,,,,,,,,,0.9,0.9,1,1,1,1.1,1.1,1.2,1.2,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8
(4287)Taman Pekaka,,,,,,,,,,,,,,,0.9,0.9,0.9,1,1,1,1.1,1.2,1.3,1.4,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7
