,(1)Lintang Angsana,(267)Lebuhraya Thean Teik,(520)Perumahan PDRM,(711)Kompleks Perumahan Polis,(999)Puncak Terubong,(1326)Taman Sri Idaman 9B,(1514)Desa Sri Swarna,(1663)Desa Delima,(1794)Desa Delima 1A,(2637)Lintang Angsana
(1)Lintang Angsana,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1
(267)Lebuhraya Thean Teik,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1
(520)Perumahan PDRM,,,,0.9,0.9,0.9,0.9,0.9,0.9,1
(711)Kompleks Perumahan Polis,,,,,0.9,0.9,0.9,0.9,0.9,0.9
(999)Puncak Terubong,,,,,,0.9,0.9,0.9,0.9,0.9
(1326)Taman Sri Idaman 9B,,,,,,,0.9,0.9,0.9,0.9
(1514)Desa Sri Swarna,,,,,,,,0.9,0.9,0.9
(1663)Desa Delima,,,,,,,,,0.9,0.9
(1794)Desa Delima 1A,,,,,,,,,,0.9
(2637)Lintang Angsana,,,,,,,,,,
