,(1)Terminal Bas Balik Pulau,(2607)Temple Jalan Tun Sardon,(3752)Kebun Bunga Bukit Baru,(4430)Jalan Tun Sardon KM380,(5084)Anjung Indah II,(6625)Sardon Hill,(8209)Persimpangan Relau,(9726)Pangsapuri Green Garden,(10259)Tingkat Paya Terubong4,(10648)Tingkat Paya Terubong 2 - 1,(10752)Tingkat Paya Terubong 2 - 2,(10947)Tingkat Paya Terubong 2 - 3,(11512)Surau Al Muttaqin,(11717)Hub Paya Terubong - Petronas
(1)Terminal Bas Balik Pulau,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.7,1.7,1.7,1.8,1.8
(2607)Temple Jalan Tun Sardon,,,0.9,0.9,1,1.2,1.3,1.4,1.5,1.5,1.5,1.5,1.5,1.6
(3752)Kebun Bunga Bukit Baru,,,,0.9,0.9,1,1.2,1.3,1.4,1.4,1.4,1.5,1.5,1.5
(4430)Jalan Tun Sardon KM380,,,,,0.9,1,1.1,1.3,1.3,1.4,1.4,1.4,1.5,1.5
(5084)Anjung Indah II,,,,,,0.9,1.1,1.2,1.3,1.3,1.3,1.3,1.4,1.4
(6625)Sardon Hill,,,,,,,0.9,1,1.1,1.2,1.2,1.2,1.2,1.3
(8209)Persimpangan Relau,,,,,,,,0.9,1,1,1,1,1.1,1.1
(9726)Pangsapuri Green Garden,,,,,,,,,0.9,0.9,0.9,0.9,1,1
(10259)Tingkat Paya Terubong4,,,,,,,,,,0.9,0.9,0.9,0.9,0.9
(10648)Tingkat Paya Terubong 2 - 1,,,,,,,,,,,0.9,0.9,0.9,0.9
(10752)Tingkat Paya Terubong 2 - 2,,,,,,,,,,,,0.9,0.9,0.9
(10947)Tingkat Paya Terubong 2 - 3,,,,,,,,,,,,,0.9,0.9
(11512)Surau Al Muttaqin,,,,,,,,,,,,,,0.9
(11717)Hub Paya Terubong - Petronas,,,,,,,,,,,,,,
