,(1)Hub Paya Terubong - Petronas,(310)Tingkat Paya Terubong4,(699)Tingkat Paya Terubong 2 - 1,(802)Tingkat Paya Terubong 2 - 2,(997)Tingkat Paya Terubong 2 - 3,(1562)Surau Al Muttaqin,(2309)Pangsapuri Green Garden,(3547)Persimpangan Relau,(5287)Sardon Hill,(6786)Anjung Indah I,(6887)Anjung Indah II,(7593)Jalan Tun Sardon KM380,(8195)Kebun Bunga Bukit Baru,(9401)Temple Jalan Tun Sardon,(12084)Terminal Bas Balik Pulau
(1)Hub Paya Terubong - Petronas,,0.9,0.9,0.9,0.9,0.9,1,1.1,1.3,1.4,1.4,1.5,1.5,1.6,1.6
(310)Tingkat Paya Terubong4,,,0.9,0.9,0.9,0.9,0.9,1.1,1.2,1.4,1.4,1.5,1.5,1.6,1.6
(699)Tingkat Paya Terubong 2 - 1,,,,0.9,0.9,0.9,0.9,1,1.2,1.4,1.4,1.4,1.5,1.5,1.6
(802)Tingkat Paya Terubong 2 - 2,,,,,0.9,0.9,0.9,1,1.2,1.3,1.4,1.4,1.5,1.5,1.6
(997)Tingkat Paya Terubong 2 - 3,,,,,,0.9,0.9,1,1.2,1.3,1.3,1.4,1.5,1.5,1.6
(1562)Surau Al Muttaqin,,,,,,,0.9,1,1.1,1.3,1.3,1.4,1.4,1.5,1.6
(2309)Pangsapuri Green Garden,,,,,,,,0.9,1,1.2,1.2,1.3,1.3,1.5,1.6
(3075)Puncak Jalan Paya Terubong ,,,,,,,,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5
(3547)Persimpangan Relau,,,,,,,,,0.9,1.1,1.1,1.2,1.2,1.3,1.5
(5287)Sardon Hill,,,,,,,,,,0.9,0.9,1,1,1.2,1.4
(6786)Anjung Indah I,,,,,,,,,,,0.9,0.9,0.9,1,1.3
(6887)Anjung Indah II,,,,,,,,,,,,0.9,0.9,1,1.2
(7593)Jalan Tun Sardon KM380,,,,,,,,,,,,,0.9,0.9,1.2
(8195)Kebun Bunga Bukit Baru,,,,,,,,,,,,,,0.9,1.1
(9401)Temple Jalan Tun Sardon,,,,,,,,,,,,,,,1
(11877)Terminal Bas Balik Pulau,,,,,,,,,,,,,,,
